,model,class,precision,recall,accuracy,f1_score
0,SVM,0-low,0.683531746031746,0.709577754891864,0.6188966391883323,0.696311268317332
1,SVM,1-high,0.5043936731107206,0.4735973597359736,0.6188966391883323,0.48851063829787233
2,GBM,0-low,0.6751227495908347,0.8496395468589083,0.6556753329105898,0.7523939808481532
3,GBM,1-high,0.5887323943661972,0.3448844884488449,0.6556753329105898,0.43496357960457854
4,RF,0-low,0.6743589743589744,0.8125643666323378,0.6429930247305009,0.7370387669313406
5,RF,1-high,0.5528255528255528,0.3712871287128713,0.6429930247305009,0.4442250740375123
6,MLP,0-low,0.6513761467889908,0.6580844490216272,0.5726062143310082,0.6547131147540983
7,MLP,1-high,0.4429530201342282,0.43564356435643564,0.5726062143310082,0.4392678868552413
