reaction_id,condition,flux_mmol_gDCW_h_FBA
EX_gln__L_e,ammonium,0.0
EX_galctn__D_e,ammonium,0.0
EX_c140_e,ammonium,0.0
EX_15dap_e,ammonium,0.0
EX_3hbenzot_e,ammonium,0.0
EX_glycolate_e,ammonium,0.0
EX_acac_e,ammonium,0.0
EX_fum_e,ammonium,0.0
EX_met__D_e,ammonium,0.0
EX_ac_e,ammonium,0.0
EX_c180_e,ammonium,0.0
EX_imal_e,ammonium,0.0
EX_dc_e,ammonium,0.0
EX_rmn_e,ammonium,0.0
EX_cytd_e,ammonium,0.0
EX_lac__L_e,ammonium,0.0
EX_crn_e,ammonium,0.0
EX_thiamin_e,ammonium,0.0
EX_2hba_e,ammonium,0.0
EX_fe2_e,ammonium,-2.8258289792499818e-05
EX_BIOMASS_c,ammonium,0.12728959365990908
EX_phe__L_e,ammonium,0.0
EX_2pg_e,ammonium,0.0
EX_val__L_e,ammonium,0.0
EX_thymd_e,ammonium,0.0
EX_ala__L_e,ammonium,0.0
EX_3hcinnm_e,ammonium,0.0
EX_mg2_e,ammonium,0.0
EX_idon_e,ammonium,0.0
EX_gbbtn_e,ammonium,0.0
EX_cit_e,ammonium,0.0
EX_da_e,ammonium,0.0
EX_catech_e,ammonium,0.0
EX_adn_e,ammonium,0.0
EX_glu__L_e,ammonium,0.0
EX_benzot_e,ammonium,0.0
EX_gly__L_e,ammonium,0.0
EX_pi_e,ammonium,-3.563534546410053
EX_gsn_e,ammonium,0.0
EX_phenol_e,ammonium,0.0
EX_tsul_e,ammonium,0.0
EX_cobalt2_e,ammonium,0.0
EX_tartr_e,ammonium,0.0
EX_maltpt_e,ammonium,0.0
EX_cys__L_e,ammonium,0.0
EX_pyr_e,ammonium,0.0
EX_du_e,ammonium,0.0
EX_icit_e,ammonium,0.0
EX_gn_e,ammonium,0.0
EX_naga_e,ammonium,0.0
EX_sprmd_e,ammonium,0.0
EX_ct_e,ammonium,0.0
EX_cl_e,ammonium,0.0
EX_adip_e,ammonium,0.0
