reaction_id,condition,flux_mmol_gDCW_h_FBA
TARTRt7,fructose,0.0
ARBabc,fructose,0.0
HACDH,fructose,0.0
PPPGO3,fructose,6.623221646158048e-05
DTMPK,fructose,0.005216234561325555
KDO8PS,fructose,0.007100570953989259
ADNK,fructose,0.0037591257991707846
CSND,fructose,0.0
KDOPP,fructose,0.007100570953989259
BAPT2,fructose,0.0
COBALTt5,fructose,0.0
4HPHEAO,fructose,0.0
4FLTHRt,fructose,0.0
CAT,fructose,0.026523914289641442
GLYALDt,fructose,0.0
CCMUCt,fructose,0.0
ADA,fructose,0.0
TMDPP,fructose,0.0
NNATr,fructose,0.002828294648900359
HIBHrm,fructose,0.0
3HBZt,fructose,0.0
UAMAGS,fructose,0.0179005990436704
2HBAt,fructose,0.0
4HPHEA2,fructose,0.0
GPDDA2,fructose,0.0
THRD_L,fructose,0.06207927748344896
HBZOPT,fructose,0.0012530419330569283
4HPHEA1,fructose,0.0
GPDDA3,fructose,0.0
HOMOGD,fructose,0.0
GLNTRS,fructose,0.0
GPDDA4,fructose,0.0
ACALD,fructose,0.0
GPDDA5,fructose,0.0
MELIBt2,fructose,0.0
2H4HMBZP,fructose,0.0
GPDDA1,fructose,0.0
HISTD,fructose,0.045240780649703
G1PCYTF,fructose,0.0
CYTBD,fructose,0.0
OCTDPS,fructose,0.0012530419330569283
INDOLEt2r,fructose,0.0
NMNAT,fructose,0.0
XTSNtr,fructose,0.0
IMPC,fructose,-0.07360368314782312
TYRTA,fructose,-0.04877913239400185
GLYOX,fructose,0.0
4HPHED2,fructose,0.0
ALDH,fructose,0.0
4HPHED1,fructose,0.0
TDPGDH,fructose,0.0
CHRPL,fructose,0.0
THRAD2,fructose,0.0
THRA,fructose,0.0
TAh,fructose,-0.002202370369051035
DHQS,fructose,0.1398663306277187
PPPNDO,fructose,0.0
SULFR,fructose,0.0
DB4PS,fructose,0.006873830032769433
ARGTRS,fructose,0.0
PHEMEAS,fructose,6.623221646158048e-05
PHOXDR,fructose,0.0
GLCP,fructose,0.0
2BHPPPH,fructose,0.0
FMNAT,fructose,0.001261992232578763
NH4t,fructose,3.1767923122102038
FDH,fructose,-0.09316844121597921
ADK3,fructose,0.0
ANTOXDR,fructose,0.0
ADK4,fructose,0.0
ADK1,fructose,0.4417539666330125
BTPT2,fructose,0.0
BTPT1,fructose,0.0
SULALDAC,fructose,0.0
GALTpts,fructose,0.0
34DHDHF,fructose,0.0
CYSabc,fructose,0.0
