,loopless
FMNAT,0.0008392159017034453
NH4t,2.1125444008225838
FDH,-0.05770638603655632
ADK3,0.0
ANTOXDR,0.0
ADK4,0.0
ADK1,0.3359680832772159
BTPT2,0.0
BTPT1,0.0
SULALDAC,0.0
GALTpts,0.0
34DHDHF,0.0
CYSabc,0.0
ACP1p,0.0
SALCH1,0.0
GMPS,0.0191777697215749
DGSNt2,0.0
ACODA,0.0
KDOCT2,0.004721829423295982
SALCH5,0.0
SALCH4,0.0
SALCH3,0.0
SALCH2,0.0
BTPT3,0.0
GLUTRS,0.0003523516409988934
GLUTRR,0.0003523516409988934
SLFR,0.04031609063478892
NTPTP1,0.0
CARSA,0.0
LPD5,0.0
NUTPTP2,0.0
2HOHPHDB,0.0
H2Ot,-16.244364687203692
PPAKr,0.0
CBL1abc,0.0
PTRCt2,0.0
HOPNTAL,0.0
METTHFD,0.0
ANTHMN1,0.0
LEUTRS,0.0
ANTHMN2,0.0
MTHFR2,0.0
MDH,1.2142321712519042
DHDPS,0.037401650541166315
BZALt,0.0
BPHEDO1,0.0
MDH2,0.011859529304346195
BPHEDO2,0.0
FBA,0.0
PERD,0.0026723967366301202
UGLYCH,0.0
AKGDH,1.1128070768436045
ILEtr,0.0
ALATRS,0.0
MECDPDHT,0.006798243992380666
PHETRS,0.0
FLVRx,0.0
HYDRTS,0.0
PTRCabc,0.0
GALCTtr,0.0
CHCOAL,0.0
MALTTRabc,0.0
LYSTRS,0.0
4FLRBZt,0.0
SPMDabc,0.0
G5SD,0.13450468385788839
KYNATESYN,0.0
FBP,0.0
ACt2r,0.0
ADOCBLS,0.0
GGMT2,0.0
GGMT1,0.0
GAM,0.0
GLUN2,0.0
MNAO15,0.0
LPS,0.006745470604708545
CHLtr,0.0
DCTPD,0.0
DCTPDA2,0.0
ADPRDP,0.0
GLCURt2r,0.0
THFAT,0.0
MACACI,0.0
FORTF,0.0
OMMBZH,0.0008332640158757601
G6Pt6_2,0.0
XPPT,0.0
ACACT1r,0.0
CYSSADS,0.0
HTTOG,0.0
SHCHCC,0.0
DHR,-0.030723237850116335
CATOCS,0.0
PPGS,0.0036925499674951598
GENDO,0.0
HATRAZE2,0.0
ADSK,0.04031609063478892
FCLT,4.404395512486167e-05
HATRAZE1,0.0
TRPD,0.0
ADSLFK2,0.0
HACD5,0.0
UNAMPLA,0.011903771655368019
MOHMT,0.0008630234450141754
BTS4,0.0
PPG2DGp,0.0
NADSG,0.0018807959215481063
UAAGDS,0.011903771655368019
AMID2,0.0
TAUDO,0.0
THRtr,0.0
AMDS6,0.0
ACPCD,0.0
HMR_7756,0.0
AMDS3,0.0
2HISOPD,0.0
AMDS2,0.0
CADVt,0.0
TMPPP,0.002487888275971916
NPPDO,0.0
HACD1,0.0
HACD2,0.0
HACD4,0.0
3HBCDH,0.0
DURIt2,0.0
GLYCLTt2r,0.0
G6PDA,0.0
UDPG4E1,0.0
PUNP7,0.0
ALATA_D2,0.0
PUNP6,0.0
PUNP5,0.0
PUNP4,0.0
PAPPT3,0.011903771655368019
PROt4,0.0
3HBD,0.0
PUNP3,0.0
PUNP2,0.0
PUNP1,0.0
FBMO2,0.0
FBMO1,0.0
DHPPRAP,0.0022855241578306597
HMDPPK,0.0
HPPPNt2r,0.0
PNTK,0.0008630234450141754
LCADi,0.0
CBPS,0.09224192976505827
FBMO6,0.0
PNTOK2,0.0
FBMO5,0.0
PNTOK3,0.0
HDCAt2,0.0
FBMO3,0.0
DSERt2,0.0
FBMO9,0.0
FBMO8,0.0
DAPDC,0.0254978788857983
FBMO7,0.0
UAGDP,0.07939319703644827
NO2t2r,0.0
METabc,0.0
CDPGD,0.0
TOLabc,0.0
AMAOTr,0.0
UPP3MT,0.0
DAAD,0.0
PRGCS,0.021349017671516535
MNLpts,0.0
SERt4,0.0
OCOAT1m,0.0
