reaction_id,flux_mmol_gDCW_h,sd_flux,min_flux,max_flux,CV,flux_mmol_gDCW_h_FBA
R_H2Ot,-32.622900464210375,2.128983774966146,-38.81396872163709,38.81396872163709,0.06526040740313056,-19.406984360818544
R_O2t,18.204715057845817,0.1550752639854038,0,36.917451601243435,0.00851841204284985,4.341928895036656
R_ATPS4m,45.4208619540716,3.984067979180052,-28.742505496363883,28.742505496363883,0.08771449522927678,14.371252748181941
R_FRUabc,9.925776896722414,0.05142982171963095,0,19.999004000858356,0.005181440430785178,2.423335584207165
R_HEXf,9.925776896722414,0.05142982171963095,0,19.999004000858356,0.005181440430785178,2.423335584207165
R_CYTCOBO3,27.561096014223615,3.3157097317790356,-17.255140558171593,17.255140558171593,0.12030398682504781,8.627570279085797
R_NADH16,22.271750352033052,1.087900162649132,-14.560178954364497,14.560178954364497,0.0488466395974048,7.280089477182249
R_ASPt2_2,0.7327530003927039,0.8682804072499418,0,14.357812175610922,1.1849564679838975,0
R_PPA,4.58606063350231,0.9803807042361228,0,13.817755440803936,0.21377403889390356,0.5579258534561703
R_PIt2r,5.555529257081275,0.6116440245420549,0,12.528652564326421,0.11009644558390753,6.635547086418691
R_HCO3E,2.6046779971686496,0.9164677206182253,0,11.91904974910766,0.3518545177616768,0.36811466936059317
R_GLNS,2.2716695968210816,0.6623996021643622,0,9.994139825646819,0.2915915250577407,0.4841546515136058
R_PC,1.3752551698610103,0.9316713353484379,0,9.857079807664315,0.6774534324728967,0
R_GLXCL,1.3863746489072393,0.8830017117757339,0,9.589273916162904,0.6369142081988651,0
R_CO2t,-17.213163786237253,1.0958398243806444,-9.38473250413083,9.38473250413083,0.06366289416573266,-4.692366252065415
R_ADNK,1.3359321935859616,0.7398877204019749,0,7.828700793096577,0.5538362829747663,0.0029864772250414364
R_ARBabc,0.26972382114793336,0.6640219377668631,0,7.027292785639043,2.46185870769891,0
R_PPC,2.3655555200888743,0.4773851985575314,0,6.846065475674514,0.20180680373107285,1.0535451691376452
R_HXPRT,1.019559655043813,0.8521681633485827,0,6.645732543234856,0.8358198160675188,0
R_GAM,0.18504115557614206,0.38519131720605637,0,6.5963299112982785,2.0816521384484927,0
R_AKGDH,0.8981800997484364,0.925720728230002,0,6.580446046803514,1.0306627017112484,1.3294597820697696
R_PUNP5,0.6800466103844625,0.7682757338283037,0,6.4283833333150575,1.1297398179721256,0
R_ILEabc,0.912958667842134,0.7043502314493786,0,6.221088970444741,0.7715028689241523,0
R_THD2,0.5742781036532586,0.7006467312994064,0,6.190836884828918,1.2200477901599527,0
R_RPI,0.19744600994488337,0.6959471256806131,-0.3367532792938164,6.1121244888831825,3.524746465501558,-0.10332357919435535
R_TPI,0.07505957724765722,0.7086713753967284,-1.9582887296273839,5.976288689529383,9.441451729184202,-0.023037116461164863
R_PGLCED,1.244315888873427,0.660084904737712,0,5.7244089554899995,0.530480170381282,0.2601926803467022
R_PSERT,1.244315888873427,0.660084904737712,0,5.7244089554899995,0.530480170381282,0.2601926803467022
R_PSP_L,1.244315888873427,0.660084904737712,0,5.7244089554899995,0.530480170381282,0.2601926803467022
R_ASP4DC,0.706267029063721,0.4816188634905113,0,5.6103652823557395,0.6819217713291534,0
R_GLYK,0.1463546932918796,0.5427435417890364,0,5.51035737517418,3.708412279656973,0
R_ASNabc,0.3801013612720959,0.45519787155593866,0,5.195194445307536,1.1975696957056803,0
R_FORTF,0.18913807376407166,0.7408852363553288,0,5.103537263010177,3.9171660237985675,0
R_THFAT,0.18913807376407166,0.7408852363553288,0,5.103537263010177,3.9171660237985675,0
R_ALAabc,0.2720849669408567,0.3602566665647724,0,5.053246013926373,1.324059431196291,0
R_SUCD4,1.274354978435937,0.5322909609534987,0,4.980939126608084,0.4176944179296095,1.0535451691375428
R_NH4t,2.4666816919620165,0.023311729738371253,0,4.970272169253421,0.00945064367824003,2.523836231071228
R_SUCCt_3,0.5423906203860314,0.5898460202343049,0,4.8736219150803874,1.0874930318936904,0
R_PIabc,0.756015437299813,0.6166579756529122,0,4.7230514459810795,0.815668497266894,0
R_LYSt,0.430170109541644,0.4769983493218539,0,4.714372505892956,1.1088598178755527,0
R_PTRCORNt7,0.9246279394295376,0.5981109364115815,0,4.676419112287206,0.6468666053727455,0
R_DATA3,1.3178851071895679,0.4518897448816934,0,4.6526276824859,0.3428900914172729,0
R_DAAD,1.3178851071872213,0.4518897448814875,0,4.652627682478547,0.3428900914177272,0
R_GLYCK,0.5644141353917078,0.5811994519321568,0,4.500579582478872,1.0297393624431463,0
R_ALADH,0.46228149321923695,0.5035232969423671,0,4.460772239877721,1.0892136162231596,0
R_NTD11,0.35790191518010395,0.5895864764928413,0,4.4497043151751585,1.647340937519568,0
R_PGI,-8.14962301474463,1.2561047821000513,-4.421349881212049,4.421349881212049,0.1541304155821018,-2.2106749406060247
R_EDA,8.147475117840283,1.2561033124122134,-4.416836982294209,4.416836982294209,0.15417086818243378,2.2084184911471043
R_EDD,8.147475117840283,1.2561033124122134,-4.416836982294209,4.416836982294209,0.15417086818243378,2.2084184911471043
R_G6PDH2r,8.147475117840283,1.2561033124122134,-4.416836982294209,4.416836982294209,0.15417086818243378,2.2084184911471043
R_PGL,8.147475117840283,1.2561033124122134,-4.416836982294209,4.416836982294209,0.15417086818243378,2.2084184911471043
R_CYTK1,0.8676470398591828,0.37676002044569945,0,4.332640123550557,0.4342318974624137,0.03117265965738096
R_NDPK3,0.8622257359072578,0.37673559048714444,0,4.32155122241723,0.43693382695279076,0.02568465222336433
