reaction_id,flux_mmol_gDCW_h,sd_flux,min_flux,max_flux,CV,flux_mmol_gDCW_h_FBA
R_ATPS4m,23.351959722085383,0.23992538148782439,0,47.599177681989886,0.010274314633255907,22.3312568960646
R_CYTCOBO3,14.077929096397188,0.1476786945858513,0,28.61563248309526,0.01049008654430893,13.137493796657637
R_NADH16,11.208508858335442,0.21158957481927304,0,23.199905408817084,0.018877584654083582,11.10948305440359
R_PIt2r,9.811184480737325,0.044601370213724255,0,20.13189835258345,0.00454597202827975,10.338897404128367
R_O2t,7.207370087768062,0.08512500305342884,0,14.573461675834233,0.011810827252772566,6.609372754416301
R_NH4t,3.786124803826576,0.015129019031514875,0,7.684576196385337,0.003995911338216906,3.932408815435101
R_FRUabc,3.74713676418006,0.0012112295995242261,0,7.496081961098552,3.2324136420712273e-4,3.748057282415631
R_HEXf,3.74713676418006,0.0012112295995242261,0,7.496081961098552,3.2324136420712273e-4,3.748057282415631
R_PDH1,3.463386265269869,0.07185249872379726,0,7.322372489711947,0.02074631393105628,3.0401756024519497
R_PDH2,3.463386265269869,0.07185249872379726,0,7.322372489711947,0.02074631393105628,3.0401756024519497
R_PDH3,3.463386265269869,0.07185249872379726,0,7.322372489711947,0.02074631393105628,3.0401756024519497
R_G6PDH2r,3.415545812398989,0.024289342606909452,0,6.905557597929146,0.007111408817511735,3.4131932920613997
R_EDA,3.4155458123968945,0.024289342606996507,0,6.905557597925565,0.0071114088175415835,3.4131932920613997
R_EDD,3.4155458123968945,0.024289342606996507,0,6.905557597925565,0.0071114088175415835,3.4131932920613997
R_PGL,3.4155458123968945,0.024289342606996507,0,6.905557597925565,0.0071114088175415835,3.4131932920613997
R_GAPD,3.1765966015908944,0.04213855851593152,0,6.555203325379369,0.013265316249103773,3.1883599085545695
R_CS,2.9557215477096292,0.07220833736758599,0,6.419378451427219,0.024430020285077188,2.6695429621806723
R_ACONT1,2.9303414570449036,0.05017177858446294,0,6.100039844869343,0.017121478612618257,2.6695429621806723
R_ACONT2,2.9303414570449036,0.05017177858446294,0,6.100039844869343,0.017121478612618257,2.6695429621806723
R_GLUDy,-10.278339381515991,156.37669372583915,-6.087691432711892,6.087691432711892,15.21419831758606,-3.043845716355946
R_ENO,2.8222994522511966,0.06468387698747916,0,5.9688805469894515,0.022918856798092174,2.7829516743313962
R_MDH,2.5402037870004817,0.09961086963371933,0,5.61344911926424,0.039213731647625656,2.2300417071813556
R_FUM,2.578642650048531,0.0716961640663804,0,5.451674996397347,0.02780383860673019,2.2300417071813556
R_ICDHyr,418.3317975312961,116.67436123510558,-5.3171092735961025,5.3171092735961025,0.2789038794651439,2.6585546367980513
R_SUCDi,2.2552831236780815,0.06319361585280592,0,4.777003617182392,0.028020258383233552,2.025252027775078
R_AKGDH,2.096547466505301,0.06456347641828576,0,4.439646557740227,0.030795141750787788,2.0109377341732335
R_PPC,1.5699910211506416,0.05024885841319869,0,3.3653087470569036,0.032005825343110215,1.636384488585862
R_PYK,0.9150426245530343,0.07202636401034859,0,2.295493181167913,0.07871367090197673,0.7693508345930847
R_PPA,0.9464822622422204,0.06668818600048874,0,2.239143962500651,0.07045899184893772,0.7842892313614253
R_GLNS,0.846693589169224,0.03856923878611228,0,1.8606641439013911,0.04555277054117822,0.7543651193397478
R_HCO3E,0.710153862251744,0.05860766820347487,0,1.6013527042105822,0.08252812709860177,0.5754507857702
R_ASPt2_2,0.06099371939149656,0.13009096982542104,0,1.4011245647244752,2.132858450399037,0
R_GUAt2,0.10330637735539186,0.138100009321897,0,1.265443534679311,1.336800426626219,0
R_NAt3_15,0.05044590113082821,0.10327521139403856,0,1.160068111697535,2.0472468343106986,0
R_PGLCED,0.44159293834187274,0.03666841965468517,0,1.1455663067662591,0.08303669844080973,0.40540823422317335
R_PSERT,0.44159293834187274,0.03666841965468517,0,1.1455663067662591,0.08303669844080973,0.40540823422317335
R_PSP_L,0.44159293834187274,0.03666841965468517,0,1.1455663067662591,0.08303669844080973,0.40540823422317335
R_ADK1,-110.42485224754569,227.12256047565714,-1.093654870646585,1.093654870646585,2.0568065598720797,0.5468274353232925
R_ACCOAC,0.4008940401329324,0.0356224579128733,0,1.0659846392564378,0.08885753926663828,0.4037464762088862
R_FUMt2_2,0.06492363830995693,0.09443532669926133,0,1.018164346610496,1.4545599901288708,0
R_NAt3_2,0.15127762749912324,0.1695903286785973,0,1.0136798522355523,1.1210535984878545,0
R_ICL,0.21572624282434683,0.07929391580044337,0,0.9536314742096133,0.367567314770358,0.010988325382621067
R_FDH2,0.1865834145236115,0.12175847566895869,0,0.9523027470445777,0.652568589656454,0
R_XANt2,0.05149153787458035,0.1375546891088153,0,0.8900393948024687,2.6714037837413565,0
R_ASPK,0.38654737226490327,0.014839371659456457,0,0.883313927318348,0.038389529263924076,0.37825779356619615
R_MCOATA,0.38269401703321004,0.0013234213876696299,0,0.7846093526991305,0.0034581710943100107,0.4027256853766199
R_LYSt,0.0501734313364715,0.047838712386157514,0,0.7425899035335508,0.9534670265093698,0
R_LYStr,0.011283386639381096,0.06377453963483735,-0.25728042116032057,0.7419881162902174,5.652074299417559,0
R_NADHDH,0.13082710257729235,0.08978478063227746,0,0.7357311901987069,0.6862857837827052,0
R_HSK,342.47153028362993,108.86368662819068,-0.6945386843398056,0.6945386843398056,0.3178766028756649,0.3472693421699028
R_THRS,342.47153028362993,108.86368662819068,-0.6945386843398056,0.6945386843398056,0.3178766028756649,0.3472693421699028
