sgRNA	readcount	timepoint	induction	sample
sll0630_52	1	0h	u	1
sms_34	278	0h	u	1
gabD_32	113	0h	u	1
sll1169_103	349	0h	u	1
Entry2084_8	111	0h	u	1
sll2008_85	651	0h	u	1
Entry704_74	179	0h	u	1
desC(des9)_141	383	0h	u	1
sll0263_10	105	0h	u	1
exsB_60	491	0h	u	1
sll0564_37	274	0h	u	1
sll0493_62	220	0h	u	1
sll7078_79	133	0h	u	1
sll0141_67	236	0h	u	1
Entry1132_59	254	0h	u	1
slr1276_4	77	0h	u	1
sll0208_3	87	0h	u	1
rpl12_149	87	0h	u	1
lysC_124	88	0h	u	1
petC2_136	207	0h	u	1
Entry1062_156	262	0h	u	1
slr1071_54	129	0h	u	1
Entry862_46	189	0h	u	1
sll1200_86	128	0h	u	1
sll0888_15	217	0h	u	1
slr1066_147	81	0h	u	1
slr0947_23	1	0h	u	1
slr1870_3	208	0h	u	1
slr1073_7	97	0h	u	1
fmu/fmv_73	83	0h	u	1
sll7028_34	280	0h	u	1
sll5042_139	178	0h	u	1
Entry1990_9	104	0h	u	1
slr1908_13	29	0h	u	1
Entry105_22	29	0h	u	1
atpG_16	273	0h	u	1
sll8035_19	1	0h	u	1
fabZ_15	78	0h	u	1
Entry442_38	123	0h	u	1
slr1048_68	312	0h	u	1
cobN2_75	165	0h	u	1
slr2012_14	1	0h	u	1
sll0595_14	398	0h	u	1
Entry53_30	147	0h	u	1
sll0922_6	2	0h	u	1
Entry636_23	212	0h	u	1
sll0426_8	38	0h	u	1
atpI_11	98	0h	u	1
mltA_17	181	0h	u	1
Entry827_15	168	0h	u	1
sll1330_35	105	0h	u	1
lepB2_58	189	0h	u	1
slr6042_35	197	0h	u	1
sll5050_12	270	0h	u	1
sll1192_28	104	0h	u	1
slr0241_55	318	0h	u	1
pheA_30	90	0h	u	1
slr1152_82	1	0h	u	1
folD_7	172	0h	u	1
dacB_30	153	0h	u	1
slr1864_128	148	0h	u	1
purF_6	64	0h	u	1
Entry1254_90	153	0h	u	1
slr1760_15	49	0h	u	1
sll5032_50	128	0h	u	1
codA_21	1	0h	u	1
slr1708_8	177	0h	u	1
sll0257_70	211	0h	u	1
pyrR_41	631	0h	u	1
Entry1142_1	87	0h	u	1
slr1837_4	1	0h	u	1
sll1851_60	140	0h	u	1
Entry976_22	63	0h	u	1
sll0783_69	157	0h	u	1
slr1668_76	347	0h	u	1
slr0341_45	3246	0h	u	1
Entry855_66	366	0h	u	1
Entry1368_5	1	0h	u	1
Entry1450_9	60	0h	u	1
aat_58	278	0h	u	1
sll0175_27	225	0h	u	1
groES_135	117	0h	u	1
Entry1952_25	203	0h	u	1
Entry444_37	187	0h	u	1
hemA_93	1	0h	u	1
sll1786_59	168	0h	u	1
Entry1735_52	367	0h	u	1
sll0996_10	1	0h	u	1
sll1710_260	10	0h	u	1
slr0168_32	164	0h	u	1
slr0496_31	109	0h	u	1
icsA_27	170	0h	u	1
sll1271_26	136	0h	u	1
tsf_13	141	0h	u	1
sll1157_154	58	0h	u	1
