sgRNA	readcount	timepoint	induction	sample
Entry1842_40	686	0h	i	1
sll0177_32	330	0h	i	1
slr1629_8	94	0h	i	1
slr6102_90	101	0h	i	1
Entry1562_4	68	0h	i	1
slr1708_26	742	0h	i	1
slr1302_17	471	0h	i	1
sll1366_28	198	0h	i	1
Entry1980_64	382	0h	i	1
ssr3129_17	57	0h	i	1
Entry947_29	744	0h	i	1
ftsH_89	38	0h	i	1
sll1942_101	707	0h	i	1
slr5111_27	7	0h	i	1
slr1800_19	368	0h	i	1
Entry788_25	25	0h	i	1
slr0318_38	173	0h	i	1
ssr1562_30	167	0h	i	1
fhuA2_70	179	0h	i	1
slr1886_13	182	0h	i	1
sll0630_52	18	0h	i	1
sll1319_158	2	0h	i	1
sms_34	267	0h	i	1
gabD_32	183	0h	i	1
sll1169_103	369	0h	i	1
Entry2084_8	77	0h	i	1
sll2008_85	1050	0h	i	1
Entry704_74	199	0h	i	1
Entry2056_0	6	0h	i	1
desC(des9)_141	477	0h	i	1
sll0263_10	54	0h	i	1
exsB_60	711	0h	i	1
sll0564_37	189	0h	i	1
Entry387_48	73	0h	i	1
sll7078_79	128	0h	i	1
sll0141_67	263	0h	i	1
Entry1132_59	383	0h	i	1
slr0254_31	97	0h	i	1
sll1542_37	350	0h	i	1
Entry400_107	62	0h	i	1
lysC_124	89	0h	i	1
petC2_136	259	0h	i	1
Entry1062_156	426	0h	i	1
sll0981_97	45	0h	i	1
Entry862_46	271	0h	i	1
sll1300_7	9	0h	i	1
sll1200_86	87	0h	i	1
slr1066_147	30	0h	i	1
slr0947_23	3	0h	i	1
slr1870_3	219	0h	i	1
slr1073_7	80	0h	i	1
fmu/fmv_73	34	0h	i	1
sll7028_34	369	0h	i	1
psbH_29	1	0h	i	1
sll5042_139	216	0h	i	1
Entry1990_9	29	0h	i	1
slr1908_13	17	0h	i	1
Entry105_22	16	0h	i	1
atpG_16	315	0h	i	1
slr1932_10	3	0h	i	1
trpS_40	190	0h	i	1
Entry442_38	52	0h	i	1
slr1048_68	497	0h	i	1
cobN2_75	175	0h	i	1
slr2012_14	3	0h	i	1
sll0595_14	611	0h	i	1
Entry53_30	155	0h	i	1
sll0922_6	5	0h	i	1
Entry636_23	283	0h	i	1
sll1861_183	87	0h	i	1
atpI_11	134	0h	i	1
Entry1989_57	108	0h	i	1
Entry761_74	401	0h	i	1
sll1330_35	130	0h	i	1
lepB2_58	119	0h	i	1
slr6042_35	280	0h	i	1
sll5050_12	320	0h	i	1
pcnB2_9	9	0h	i	1
slr2010_11	392	0h	i	1
slr0241_55	498	0h	i	1
Entry814_6	7	0h	i	1
pheA_30	111	0h	i	1
slr1152_82	3	0h	i	1
folD_7	175	0h	i	1
dacB_30	158	0h	i	1
slr1117_56	312	0h	i	1
Entry1254_90	138	0h	i	1
slr1760_15	10	0h	i	1
sll5032_50	136	0h	i	1
codA_21	11	0h	i	1
slr1708_8	160	0h	i	1
sll0257_70	264	0h	i	1
clpP_22	2	0h	i	1
pyrR_41	964	0h	i	1
Entry1142_1	93	0h	i	1
slr1837_4	1	0h	i	1
sll1851_60	133	0h	i	1
Entry976_22	23	0h	i	1
sll0267_15	211	0h	i	1
slr1668_76	457	0h	i	1
slr0341_45	4683	0h	i	1
Entry855_66	439	0h	i	1
Entry1368_5	3	0h	i	1
Entry1450_9	30	0h	i	1
aat_58	432	0h	i	1
sll0175_27	237	0h	i	1
groES_135	123	0h	i	1
slr0204_89	209	0h	i	1
hsp17_44	9	0h	i	1
Entry1952_25	256	0h	i	1
Entry444_37	201	0h	i	1
hemA_93	2	0h	i	1
sll1786_59	252	0h	i	1
Entry1735_52	647	0h	i	1
sll0996_10	5	0h	i	1
sll1710_260	87	0h	i	1
pstB3_21	3	0h	i	1
slr0168_32	299	0h	i	1
slr0496_31	85	0h	i	1
icsA_27	235	0h	i	1
sll1271_26	106	0h	i	1
tsf_13	124	0h	i	1
sll1157_154	89	0h	i	1
ssl2250_17	154	0h	i	1
gltX_22	113	0h	i	1
sll1595_84	16	0h	i	1
menA_4	234	0h	i	1
slr0169_29	272	0h	i	1
gshB_24	123	0h	i	1
sll1273_68	334	0h	i	1
slr0951_15	389	0h	i	1
cpcG_89	125	0h	i	1
asnS_81	1213	0h	i	1
sll1848_7	1	0h	i	1
ccmK2_38	150	0h	i	1
slr2038_3	1	0h	i	1
slr0800_20	24	0h	i	1
icfA2_25	5	0h	i	1
Entry1007_3	162	0h	i	1
slr1520_68	3	0h	i	1
sll0173_22	6	0h	i	1
Entry658_27	288	0h	i	1
ureC_17	17	0h	i	1
Entry533_36	132	0h	i	1
Entry103_38	8	0h	i	1
sll1386_124	6	0h	i	1
hemK_19	221	0h	i	1
slr0612_73	345	0h	i	1
slr0196_4	192	0h	i	1
Entry2070_2	4	0h	i	1
Entry1825_84	265	0h	i	1
Entry1124_73	1120	0h	i	1
Entry1842_7	3	0h	i	1
slr1384_81	4	0h	i	1
sll0191_25	195	0h	i	1
tar_27	11	0h	i	1
slr6084_25	7	0h	i	1
Entry186_48	559	0h	i	1
slr0114_8	196	0h	i	1
slr0073_37	157	0h	i	1
slr1077_79	79	0h	i	1
proC_4	283	0h	i	1
Entry190_2	75	0h	i	1
sll0280_19	228	0h	i	1
slr0589_98	1	0h	i	1
slr1045_146	7	0h	i	1
purE_55	175	0h	i	1
Entry827_0	38	0h	i	1
ilvN_42	257	0h	i	1
slr0076_44	48	0h	i	1
Entry1699_41	252	0h	i	1
ssl2733_51	15	0h	i	1
psbD_290	9	0h	i	1
Entry1027_2	4	0h	i	1
clpB_15	42	0h	i	1
sll0816_10	360	0h	i	1
Entry733_7	5	0h	i	1
Entry123_14	68	0h	i	1
sll7047_8	410	0h	i	1
Entry1516_45	2	0h	i	1
rps18_45	80	0h	i	1
mtfB_202	7	0h	i	1
ssr6032_73	30	0h	i	1
Entry1113_32	121	0h	i	1
apcD_31	559	0h	i	1
trxA3_10	1	0h	i	1
slr0686_17	56	0h	i	1
Entry773_65	526	0h	i	1
sdhB2_78	15	0h	i	1
Entry1439_80	309	0h	i	1
sphX_35	104	0h	i	1
hlyB_10	140	0h	i	1
Entry1713_3	141	0h	i	1
ssl0832_70	111	0h	i	1
rbcL_47	4	0h	i	1
slr0495_30	331	0h	i	1
slr6063_4	246	0h	i	1
Entry781_65	449	0h	i	1
cbiD_25	14	0h	i	1
Entry1893_69	4	0h	i	1
slr1203_46	5	0h	i	1
sll7065_55	200	0h	i	1
slr2044_12	351	0h	i	1
sll1950_14	4	0h	i	1
sll1783_144	9	0h	i	1
im30_14	44	0h	i	1
Entry2024_39	130	0h	i	1
pta_25	19	0h	i	1
ESI3_24	3	0h	i	1
hypB2_83	156	0h	i	1
ureG_12	314	0h	i	1
Entry793_3	194	0h	i	1
Entry398_46	165	0h	i	1
Entry1869_141	1	0h	i	1
Entry730_47	147	0h	i	1
hisC2_32	172	0h	i	1
slr1327_17	85	0h	i	1
gltS_26	7	0h	i	1
Entry778_9	95	0h	i	1
petF2_35	106	0h	i	1
smpB_233	552	0h	i	1
Entry225_55	64	0h	i	1
fus4_178	10	0h	i	1
Entry12_77	167	0h	i	1
slr0583_44	82	0h	i	1
lepB2_44	65	0h	i	1
Entry1085_23	369	0h	i	1
Entry1487_37	420	0h	i	1
slr0398_20	231	0h	i	1
sll1892_7	156	0h	i	1
sll0994_24	14	0h	i	1
slr1413_21	128	0h	i	1
Entry1614_2	24	0h	i	1
Entry551_52	5	0h	i	1
dnaN_43	367	0h	i	1
slr1362_60	144	0h	i	1
Entry1903_28	11	0h	i	1
slr0401_9	11	0h	i	1
sll0844_82	50	0h	i	1
Entry1094_35	530	0h	i	1
Entry1690_12	173	0h	i	1
slr1140_110	230	0h	i	1
sll1930_211	80	0h	i	1
slr1470_35	212	0h	i	1
pepP_6	54	0h	i	1
Entry1866_48	70	0h	i	1
sll1586_43	513	0h	i	1
slr0780_23	3	0h	i	1
Entry140_45	307	0h	i	1
sll0240_72	5	0h	i	1
repA_55	394	0h	i	1
Entry611_41	759	0h	i	1
slr0092_69	147	0h	i	1
Entry605_1	78	0h	i	1
Entry1095_21	174	0h	i	1
rimI_58	287	0h	i	1
ssr5020_66	457	0h	i	1
Entry498_27	55	0h	i	1
slr0770_36	147	0h	i	1
slr7097_45	154	0h	i	1
Entry1310_22	224	0h	i	1
slr6102_48	1	0h	i	1
sll5122_43	155	0h	i	1
ssr1765_88	224	0h	i	1
slr0656_61	275	0h	i	1
Entry465_32	420	0h	i	1
Entry40_104	31	0h	i	1
slr0270_9	2	0h	i	1
Entry1598_33	256	0h	i	1
menD_31	404	0h	i	1
rbcR_61	450	0h	i	1
Entry1554_105	122	0h	i	1
ssl7051_68	299	0h	i	1
slr1084_99	16	0h	i	1
Entry1169_72	53	0h	i	1
sll0301_61	280	0h	i	1
Entry560_55	246	0h	i	1
nrtB_23	16	0h	i	1
lepB_22	80	0h	i	1
rpoDI_5	60	0h	i	1
rpl9_136	1	0h	i	1
sll6093_43	278	0h	i	1
gdh_59	85	0h	i	1
Entry699_121	193	0h	i	1
slr0605_178	833	0h	i	1
ssr2439_19	7	0h	i	1
crtQ_40	5	0h	i	1
sll1504_82	2	0h	i	1
yfr2b_111	119	0h	i	1
slr1882_101	219	0h	i	1
ssr2803_58	181	0h	i	1
Entry254_40	19	0h	i	1
Entry454_43	18	0h	i	1
Entry975_90	80	0h	i	1
slr0488_6	313	0h	i	1
Entry975_96	212	0h	i	1
sll1660_15	9	0h	i	1
sll1489_33	29	0h	i	1
sll1714_31	15	0h	i	1
Entry56_56	39	0h	i	1
slr0915_81	414	0h	i	1
Entry885_63	24	0h	i	1
Entry607_115	363	0h	i	1
ssr6046_30	6	0h	i	1
slr1177_4	21	0h	i	1
sll1571_19	201	0h	i	1
sll1879_42	12	0h	i	1
Entry1969_6	139	0h	i	1
sll1353_159	276	0h	i	1
sll1158_55	70	0h	i	1
Entry653_0	4	0h	i	1
slr1467_64	181	0h	i	1
Entry1456_15	60	0h	i	1
TU728 (nsiR6)_37	9	0h	i	1
sll5061_18	211	0h	i	1
Entry1928_3	103	0h	i	1
sll0752_27	355	0h	i	1
ssr2060_76	272	0h	i	1
Entry790_81	205	0h	i	1
ssl1507_52	8	0h	i	1
hisH_13	181	0h	i	1
Entry1182_29	14	0h	i	1
slr1425_20	7	0h	i	1
ssr6083_60	18	0h	i	1
slr1712_399	17	0h	i	1
lytR_74	129	0h	i	1
sll1401_56	128	0h	i	1
Entry1317_76	302	0h	i	1
Entry1617_49	21	0h	i	1
Entry117_103	228	0h	i	1
miaA_4	7	0h	i	1
cpcF_58	334	0h	i	1
nCl0710 (CoiR1)_23	384	0h	i	1
ssr1499_20	8	0h	i	1
Entry1314_29	135	0h	i	1
dnaJ3_46	37	0h	i	1
sll0005_31	99	0h	i	1
Entry1715_23	340	0h	i	1
sll6069_144	290	0h	i	1
slr0654_13	14	0h	i	1
Entry245_34	40	0h	i	1
slr0023_9	126	0h	i	1
sll1062_226	80	0h	i	1
Entry1271_33	195	0h	i	1
sll5014_21	3	0h	i	1
Entry1908_26	38	0h	i	1
pheT_28	4	0h	i	1
sll1308_10	60	0h	i	1
Entry1983_24	2	0h	i	1
Entry2029_2	63	0h	i	1
Entry1960_1	465	0h	i	1
sll0898_4	399	0h	i	1
Entry1123_88	139	0h	i	1
Entry1514_2	200	0h	i	1
Entry830_99	48	0h	i	1
Entry1854_27	10	0h	i	1
rpl17_55	1	0h	i	1
sll5080_63	172	0h	i	1
Entry2068_42	298	0h	i	1
slr0476_58	5	0h	i	1
sll1389_12	227	0h	i	1
Entry1295_60	67	0h	i	1
Entry2063_31	440	0h	i	1
slr1829_19	663	0h	i	1
Entry845_30	87	0h	i	1
sll0864_253	51	0h	i	1
slr1752_13	167	0h	i	1
rpoD3_47	10	0h	i	1
sll0671_63	4	0h	i	1
alr_40	251	0h	i	1
Entry1926_46	178	0h	i	1
sll5130_159	2	0h	i	1
psbA1_10	103	0h	i	1
hisC_62	360	0h	i	1
Entry1194_4	3	0h	i	1
ssl8028_116	164	0h	i	1
vapB_22	20	0h	i	1
Entry1023_53	500	0h	i	1
atpC_8	106	0h	i	1
slr0106_88	2	0h	i	1
sll0691_63	9	0h	i	1
sll0066_40	61	0h	i	1
slr1101_37	264	0h	i	1
desC(des9)_126	11	0h	i	1
Entry1636_67	2	0h	i	1
Entry1850_28	7	0h	i	1
rps3_32	94	0h	i	1
ssl1378_9	159	0h	i	1
hisD_16	450	0h	i	1
sll8017_13	2	0h	i	1
Entry150_21	70	0h	i	1
Entry2054_91	270	0h	i	1
ssr2422_161	223	0h	i	1
nblA_83	5	0h	i	1
sll1574_4	12	0h	i	1
slr6095_141	383	0h	i	1
Entry657_32	477	0h	i	1
sll1020_152	522	0h	i	1
fmu/fmv_50	696	0h	i	1
Entry2086_207	422	0h	i	1
slr0602_7	57	0h	i	1
slr2017_40	4	0h	i	1
sll7087_62	124	0h	i	1
psbU_13	370	0h	i	1
Entry256_5	152	0h	i	1
sll1624_46	1060	0h	i	1
sll8011_33	14	0h	i	1
Entry618_101	404	0h	i	1
rpl24_21	10	0h	i	1
Entry1554_33	134	0h	i	1
Entry2080_35	2	0h	i	1
slr1161_88	351	0h	i	1
slr1846_6	59	0h	i	1
Entry1989_30	307	0h	i	1
sll1559_79	184	0h	i	1
Entry1372_5	489	0h	i	1
Entry1378_30	159	0h	i	1
sll1531_9	268	0h	i	1
Entry586_25	209	0h	i	1
sll1138_102	56	0h	i	1
slr0482_12	39	0h	i	1
sll0797_143	274	0h	i	1
SyR7_153	5	0h	i	1
slr1913_22	78	0h	i	1
ssl1326_64	157	0h	i	1
sll1825_50	311	0h	i	1
slr1068_48	53	0h	i	1
slr1230_54	210	0h	i	1
deaD_22	7	0h	i	1
slr0142_31	230	0h	i	1
petG_42	10	0h	i	1
Entry266_29	8	0h	i	1
Entry1263_40	8	0h	i	1
sll1308_49	165	0h	i	1
rps13_23	130	0h	i	1
sll0473_40	27	0h	i	1
zam_109	281	0h	i	1
sll1472_37	11	0h	i	1
ssr3571_39	25	0h	i	1
aroK_4	36	0h	i	1
Entry1460_32	134	0h	i	1
mgtE_33	28	0h	i	1
slr1142_75	193	0h	i	1
cysT_75	85	0h	i	1
sll0501_27	231	0h	i	1
ssr1391_85	2	0h	i	1
ssl0467_7	4	0h	i	1
Entry264_64	448	0h	i	1
Entry1522_42	15	0h	i	1
Entry2073_119	8	0h	i	1
slr0166_176	627	0h	i	1
sll0549_28	674	0h	i	1
ssl5114_7	51	0h	i	1
ssr2898_74	98	0h	i	1
ssl1633_67	23	0h	i	1
psbB_9	9	0h	i	1
slr0168_16	158	0h	i	1
Entry513_68	4	0h	i	1
guaB_31	75	0h	i	1
sll1656_5	286	0h	i	1
sll1765_29	218	0h	i	1
sll0198_10	811	0h	i	1
ssl6082_8	297	0h	i	1
Entry1823_128	498	0h	i	1
slr0544_32	560	0h	i	1
dpm1_28	355	0h	i	1
citH_37	749	0h	i	1
hisS_11	198	0h	i	1
gldA_5	177	0h	i	1
Entry1099_55	554	0h	i	1
slr1028_23	116	0h	i	1
Entry61_23	97	0h	i	1
psbJ_20	72	0h	i	1
Entry1162_114	297	0h	i	1
ho2_8	332	0h	i	1
sll0793_159	325	0h	i	1
gshB_42	406	0h	i	1
sll0071_24	5	0h	i	1
psbO_12	49	0h	i	1
Entry904_15	441	0h	i	1
fecB3_106	458	0h	i	1
sll0812_48	1088	0h	i	1
sll1024_22	9	0h	i	1
ssr2439_32	400	0h	i	1
slr6107_283	221	0h	i	1
slr1920_85	364	0h	i	1
sll5046_14	212	0h	i	1
sll1384_12	350	0h	i	1
slr5024_91	105	0h	i	1
slr1966_40	10	0h	i	1
slr1590_9	108	0h	i	1
slr7076_64	426	0h	i	1
lacG_57	172	0h	i	1
hemK_34	181	0h	i	1
ureC_32	151	0h	i	1
slr1425_9	94	0h	i	1
Entry49_41	5	0h	i	1
sll1386_17	129	0h	i	1
Entry31_38	38	0h	i	1
sll1739_94	4	0h	i	1
Entry210_21	46	0h	i	1
slr0468_45	36	0h	i	1
Entry1159_0	231	0h	i	1
Entry1072_21	106	0h	i	1
Entry365_23	9	0h	i	1
slr5071_90	2	0h	i	1
sll0297_6	6	0h	i	1
slr1215_29	12	0h	i	1
hypC_39	4	0h	i	1
slr1739_41	135	0h	i	1
Entry584_90	225	0h	i	1
sll0853_124	349	0h	i	1
slr5055_7	309	0h	i	1
fmt_110	8	0h	i	1
Entry2000_35	182	0h	i	1
Entry993_29	56	0h	i	1
Entry1479_8	7	0h	i	1
slr1143_72	31	0h	i	1
Entry125_0	207	0h	i	1
sll0280_35	316	0h	i	1
slr1444_40	101	0h	i	1
sll0086_58	273	0h	i	1
Entry1999_72	7	0h	i	1
hitB_64	450	0h	i	1
sll0022_17	235	0h	i	1
Entry853_44	73	0h	i	1
Entry558_0	196	0h	i	1
slr1726_19	13	0h	i	1
slr1393_94	142	0h	i	1
lysS_16	91	0h	i	1
slr0351_19	5	0h	i	1
sll5035_23	53	0h	i	1
Entry1_80	114	0h	i	1
leuD_20	174	0h	i	1
rps15_4	75	0h	i	1
pcrR_118	35	0h	i	1
mtfB_228	117	0h	i	1
sll0501_4	5	0h	i	1
ssl5096_88	325	0h	i	1
slr1635_48	56	0h	i	1
ssr6032_17	368	0h	i	1
slr6012_9	676	0h	i	1
ssl0294_100	168	0h	i	1
sll1201_96	19	0h	i	1
Entry1322_53	6	0h	i	1
slr1597_19	294	0h	i	1
slr6103_85	289	0h	i	1
slr0592_10	144	0h	i	1
slr2037_53	16	0h	i	1
sfsA_15	118	0h	i	1
ssl0832_94	280	0h	i	1
ssr2972_90	168	0h	i	1
sll1623_4	210	0h	i	1
sll0506_33	3	0h	i	1
slr0930_21	381	0h	i	1
slr0073_15	372	0h	i	1
slr0458_29	2	0h	i	1
hisS2_8	54	0h	i	1
slr0954_37	11	0h	i	1
slr1544_8	335	0h	i	1
Entry1945_64	4	0h	i	1
hlyD_76	151	0h	i	1
pgm_77	379	0h	i	1
Entry352_60	17	0h	i	1
ssl2245_53	179	0h	i	1
ureG_35	383	0h	i	1
slr0856_134	2829	0h	i	1
hrcA_29	908	0h	i	1
ESI3_44	55	0h	i	1
lpxC_21	288	0h	i	1
Entry1750_42	9	0h	i	1
Entry1564_39	7	0h	i	1
sll1692_140	780	0h	i	1
slr1266_32	10	0h	i	1
slr5056_14	3	0h	i	1
sll2011_37	113	0h	i	1
ape2_22	176	0h	i	1
leuC_57	4	0h	i	1
slr1174_50	130	0h	i	1
slr1363_97	3	0h	i	1
sll0376_37	12	0h	i	1
ssr2549_52	6	0h	i	1
Entry1796_27	2	0h	i	1
slr0294_106	1	0h	i	1
slr1400_13	10	0h	i	1
sll1560_63	770	0h	i	1
slr1074_73	39	0h	i	1
ssr3532_21	2	0h	i	1
Entry604_59	438	0h	i	1
Entry1883_88	473	0h	i	1
ama2_70	8	0h	i	1
Entry230_1	4	0h	i	1
ssl0410_52	38	0h	i	1
slr0636_110	184	0h	i	1
sll5049_22	13	0h	i	1
Entry1736_82	83	0h	i	1
Entry127_31	280	0h	i	1
slr7026_97	11	0h	i	1
sll1895_70	184	0h	i	1
Entry221_9	131	0h	i	1
Entry168_59	31	0h	i	1
ycf22_2_17	8	0h	i	1
sll0998_97	465	0h	i	1
slr1470_16	71	0h	i	1
sps_82	106	0h	i	1
slr0320_132	122	0h	i	1
ruvA_105	466	0h	i	1
nplT_58	82	0h	i	1
slr0373_80	375	0h	i	1
sll1455_34	10	0h	i	1
Entry9_70	1	0h	i	1
Entry9_71	104	0h	i	1
Entry611_60	400	0h	i	1
Entry882_30	93	0h	i	1
Entry2053_31	9	0h	i	1
sll1791_272	460	0h	i	1
slr2141_31	36	0h	i	1
Entry763_98	251	0h	i	1
chlN_19	176	0h	i	1
Entry512_40	10	0h	i	1
slr0640_10	228	0h	i	1
mgtC_109	122	0h	i	1
Entry1684_2	54	0h	i	1
ssl7074_62	67	0h	i	1
ccmK4_4	239	0h	i	1
sll1170_4	4	0h	i	1
Entry1311_1	2	0h	i	1
slr1421_115	18	0h	i	1
ftsH3_35	704	0h	i	1
Entry1897_135	4	0h	i	1
sll0797_100	34	0h	i	1
Entry1650_87	281	0h	i	1
Entry1122_83	91	0h	i	1
sll1945_70	3	0h	i	1
Entry1569_27	1170	0h	i	1
sll1982_55	5	0h	i	1
slr0664_70	41	0h	i	1
Entry1655_60	163	0h	i	1
slr0788_60	312	0h	i	1
pstA2_4	5	0h	i	1
Entry2021_18	110	0h	i	1
ctpB_27	4	0h	i	1
Entry723_43	642	0h	i	1
xthA_27	585	0h	i	1
Entry1338_35	37	0h	i	1
brkB_16	92	0h	i	1
Entry1574_63	77	0h	i	1
fmt_68	190	0h	i	1
Entry655_21	212	0h	i	1
gdhB_32	308	0h	i	1
sll0788_41	1166	0h	i	1
Entry377_22	249	0h	i	1
pfkA_49	175	0h	i	1
sll1660_31	199	0h	i	1
Entry461_58	374	0h	i	1
Entry258_35	7	0h	i	1
slr8026_12	643	0h	i	1
slr0210_40	513	0h	i	1
Entry2035_2	4	0h	i	1
slr2027_67	189	0h	i	1
Entry1971_51	328	0h	i	1
Entry1776_20	196	0h	i	1
sll0318_32	320	0h	i	1
slr2049_55	19	0h	i	1
Entry115_68	1500	0h	i	1
slr0222_3	8	0h	i	1
sll1515_41	7	0h	i	1
sll0727_70	4	0h	i	1
