Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A1830,Cytoplasm,1.2601749253608064e-5,1.6363111362450873e-5,1.8831161109929657e-5,1.9195858441117834e-5,1.3675109719901927e-5
H16_A1831,Cytoplasm,7.490721121707728e-6,1.651966505402887e-5,1.431480069701647e-5,1.4410072127897124e-5,1.3736127891814494e-5
H16_A1832,Cytoplasm,2.2608717623541296e-7,4.1940935876125034e-7,6.646899426648301e-7,2.8531944318988187e-7,1.2912452822444263e-6
H16_A1833,Cytoplasm,NaN,NaN,NaN,NaN,NaN
H16_A1836,Cytoplasm,8.108543062867256e-6,1.275962492103471e-5,2.9092262737527466e-5,1.224887561309856e-4,8.73882372307642e-5
H16_A1837,Cytoplasm,1.888662196458248e-5,2.357036997855409e-5,2.4160098277814034e-5,2.2895021637274532e-5,2.2181583298491224e-5
H16_A1839,Cytoplasm,2.3856764843455283e-5,2.5379306646216173e-5,3.900381849452513e-5,6.576718497313033e-5,5.4531463297984656e-5
H16_A1840,Cytoplasm,1.0038999233210182e-4,1.277505918209666e-4,6.0350168354924656e-5,8.726543553946434e-5,7.345940297075281e-5
H16_A1842,Cytoplasm,NaN,NaN,NaN,4.121131942577331e-5,NaN
H16_A1843,Cytoplasm,7.0358568169129184e-6,1.95055554639474e-5,1.670837249991985e-5,2.7307526212896165e-5,3.4616600831408804e-5
H16_A1845,Cytoplasm,7.899553329743283e-8,1.1246833546368296e-7,3.9707269128264964e-8,4.494872302154981e-8,3.3187095569746903e-8
H16_A1846,Cytoplasm,7.498764232740735e-6,9.940536779016707e-6,7.848557470219214e-6,5.025945413917637e-6,5.778682837146843e-6
H16_A1847,Cytoplasm,2.2806100046696582e-4,2.203661637642925e-4,2.9234511025268286e-4,2.5943051092331445e-4,2.2470772676821995e-4
H16_A1848,Cytoplasm,2.4467841730718556e-6,2.7316349183059636e-6,4.0747404739524495e-6,6.491678774131523e-6,4.319852668994225e-6
H16_A1849,Cytoplasm,8.72108674896648e-6,1.8645260747222003e-5,1.7047614449434504e-5,6.970118543523748e-5,1.4650257837444503e-4
H16_A1852,Cytoplasm,NaN,NaN,NaN,NaN,NaN
H16_A1853,Cytoplasm,NaN,3.7094813184935294e-7,3.7195771943809824e-8,NaN,1.0449144916125866e-7
H16_A1854,Cytoplasm,2.290641562138251e-6,2.2136554615922397e-6,2.470417017414512e-6,3.85924309759865e-6,2.807294399445051e-6
H16_A1856,Cell_membrane,2.332706778374383e-6,4.2557716637136626e-7,1.6441183193745052e-6,3.935096703241726e-6,3.108478462569567e-6
H16_A1857,Cell_membrane,5.783632792548274e-7,7.626433339827663e-7,6.163944187358172e-7,9.905898763855095e-7,1.1269208823088506e-6
H16_A1858,Cytoplasm,6.941612036734154e-7,7.30603565784912e-7,9.749925783977213e-7,1.7248603228899399e-6,4.272768238597151e-6
H16_A1860,Cytoplasm,1.882380356477752e-5,5.572350653951564e-6,1.1633503482269802e-5,5.5094164727041115e-5,1.2735963310906633e-5
H16_A1861,Cytoplasm,NaN,NaN,NaN,NaN,NaN
H16_A1863,Cell_membrane,2.9368337181489627e-6,2.869985306347226e-6,8.27009323472969e-6,1.3074678474272274e-5,1.5364343971437285e-5
H16_A1864,Cytoplasm,1.5914623101652577e-4,4.721625958807919e-4,2.483366279810223e-4,1.4526963102956813e-4,1.360458117934444e-4
H16_A1865,Cell_membrane,NaN,3.833210267297861e-8,2.9885877153619805e-8,9.626662558816978e-9,NaN
H16_A1866,Cell_membrane,5.9809654173570026e-5,1.3573978675823154e-6,1.6627645888219752e-6,1.954125604036937e-6,2.5330988138030467e-6
H16_A1869,Cell_membrane,4.452634756657157e-5,2.8053571320486418e-5,1.791477132953271e-5,1.6471196154201015e-5,2.2637254016829666e-5
H16_A1870,Cytoplasm,7.265269496961817e-6,9.799007564023352e-6,8.020273571846208e-6,5.0727569006211274e-6,1.3619974501473107e-5
H16_A1871,Cell_membrane,4.323895412965682e-6,8.906346214494694e-6,7.64969227436067e-6,1.1835674246310184e-5,5.775226892093597e-6
H16_A1872,Cytoplasm,5.2219545820149145e-6,8.972794425266549e-6,7.88896494732583e-6,3.852882457891673e-6,4.969462502565639e-6
H16_A1873,Cytoplasm,4.0695636473272486e-6,1.4274820821540551e-5,9.505621822946549e-6,1.9069564732132084e-5,3.119179117928305e-5
H16_A1874,Cell_membrane,7.20584915508637e-8,1.0738852553120641e-7,1.8914319363432008e-7,9.282973557410913e-8,1.7611461192556532e-7
H16_A1875,Cytoplasm,2.130610062964421e-4,3.1197277780170156e-4,2.3048519618295806e-4,1.7557227268750976e-4,1.760640329915916e-4
H16_A1878,Cell_membrane,NaN,NaN,NaN,NaN,NaN
H16_A1881,Cell_membrane,3.1416666124980528e-6,4.109537926911447e-6,1.6916927122473426e-6,1.3228981012430538e-6,1.175989906430312e-5
H16_A1882,Cytoplasm,2.477845766294735e-5,3.395480344336475e-5,2.9321694451716797e-5,2.6427750787537168e-5,3.810359447598449e-5
H16_A1883,Cytoplasm,5.322432145690928e-4,3.959335943522265e-4,2.298484602185242e-4,1.164239759296711e-4,9.86427390584479e-5
H16_A1884,Cell_membrane,7.607171051720606e-5,1.4858288856861368e-4,7.891296199470279e-5,9.423304354960417e-5,5.952487319207888e-5
H16_A1885,Cytoplasm,4.62530190643206e-5,4.8065012544619425e-5,6.591645453928133e-5,6.872572402086158e-5,4.3297206595683305e-5
H16_A1886,Cytoplasm,5.4409223361223343e-05,2.1995814257851685e-5,6.40268175503885e-5,3.130023331013489e-5,2.6909466427835092e-5
H16_A1887,Cytoplasm,8.419982729532337e-6,3.482701007515326e-5,1.4635464418456652e-5,2.494936614937399e-5,1.7221523151223225e-5
H16_A1888,Cytoplasm,1.702260141404123e-5,2.8090448623802275e-5,3.2889679185545e-5,2.340498895347832e-5,2.494723932504355e-5
H16_A1889,Cytoplasm,2.8957118272618862e-5,2.571792393114775e-5,2.2206026518647725e-5,2.5735534244475817e-5,1.7192870944288573e-5
H16_A1890,Cytoplasm,5.179032556606541e-6,2.864236821726273e-6,6.003231673476804e-6,5.2707476273003675e-6,2.075304029328893e-6
H16_A1892,Cell_membrane,4.319249316056944e-4,5.25688588566348e-4,5.292434958696884e-4,5.583566265984888e-4,4.3275273461331365e-4
H16_A1893,Cell_membrane,1.8139987510949464e-6,1.1287596599490998e-6,2.099171113533324e-6,1.8202865702135283e-6,2.729965687244726e-6
H16_A1894,Cytoplasm,1.365967101066604e-4,2.328933921644754e-6,1.1311083667802978e-4,3.4546377881742706e-4,2.819782159428083e-4
H16_A1896,Cytoplasm,2.718818013484038e-7,3.551633097896736e-7,1.2925428329966686e-6,2.0122418707183598e-6,2.914629097385066e-6
H16_A1897,Cell_membrane,1.568359722579879e-7,5.102345341491711e-7,2.3523749888758863e-7,2.0229849563391077e-7,5.134064838450778e-7
H16_A1898,Cytoplasm,NaN,NaN,NaN,1.6661148759109691e-7,2.986598286623086e-7
H16_A1899,Cell_membrane,7.898547320458194e-7,1.029062344690005e-6,5.9872719254192686e-6,1.8752311990059738e-6,5.895253568144561e-6
H16_A1900,Cytoplasm,9.946215950532887e-5,8.116763279293574e-5,8.05932850633016e-5,8.366545932389692e-5,9.479694218888573e-5
H16_A1901,Cytoplasm,8.223319493640656e-5,1.3793700438344562e-4,1.307140152835132e-4,1.2918939598796208e-4,1.2630714542306802e-4
H16_A1902,Cytoplasm,5.917478395145573e-8,NaN,3.7850824414830033e-7,1.3163318683357874e-7,1.4048201866878338e-6
H16_A1903,Cytoplasm,4.6279332070572254e-5,2.559717727025273e-5,2.006463111269198e-5,2.6356792759333246e-5,1.945386052701417e-5
H16_A1904,Cytoplasm,2.6025633763409524e-6,3.391954028631228e-6,3.818630772414881e-6,5.818657760041479e-6,3.6204987351690505e-6
H16_A1905,Cytoplasm,1.2004049934912341e-4,1.165262808726816e-4,9.456760003864165e-5,7.19802757253351e-5,6.680782491528894e-5
H16_A1906,Cytoplasm,1.5383458929371186e-4,1.6277345817336547e-4,1.486513433455358e-4,1.6328601633678979e-4,1.245815935833592e-4
H16_A1907,Cytoplasm,4.067969630746873e-5,3.816208331162943e-5,4.3115915600620444e-5,4.14516949930949e-5,1.1292058042128403e-4
H16_A1908,Cytoplasm,8.465984952181347e-5,5.1452180738273084e-5,5.329467880165828e-5,5.183721854265362e-5,7.763194749377445e-5
H16_A1909,Cytoplasm,1.7229856371714263e-6,6.839404324598355e-7,1.2849104679313296e-6,8.48991305916605e-7,6.288059833818279e-7
H16_A1910,Cell_membrane,0.001663310696977799,0.0011468398796731342,0.0016465061181232912,0.0015661211377405533,0.001315364272941543
H16_A1911,Cytoplasm,1.9878784545068668e-7,NaN,4.6574339440150893e-7,2.1969857196877937e-7,3.076806211240582e-7
H16_A1914,Cytoplasm,1.0651908486440067e-5,6.309822845827688e-5,4.577656580842906e-5,2.202627888241885e-5,2.8558891057064742e-5
H16_A1915,Cytoplasm,8.413774063274787e-6,2.0969284161350004e-5,1.5372690846221336e-5,2.012162400258665e-5,1.6981484935387272e-5
H16_A1916,Cytoplasm,2.062385630958884e-5,2.1864672867145756e-5,2.8174290753606553e-5,7.021806837863263e-5,2.2124731589634403e-5
H16_A1917,Cytoplasm,1.4797169100818575e-4,1.0065008335056981e-4,9.956271028100234e-5,8.654344371804682e-5,4.345258294455656e-5
H16_A1918,Cell_membrane,4.103084252488736e-6,4.535182408272119e-6,5.567666865303446e-6,7.973613632606001e-6,5.403155952827232e-6
H16_A1919,Cytoplasm,8.941420246015942e-4,0.0010866179190571173,0.0012081526657524533,9.814258909675271e-4,7.939656265295212e-4
H16_A1920,Cytoplasm,7.306265987262024e-5,3.610531765018539e-5,2.9222644280776447e-5,2.82532842258793e-5,1.2188330542885222e-5
H16_A1921,Cytoplasm,1.0835771741660227e-4,1.4764068925379143e-4,1.779775429427783e-4,2.1333592002156662e-4,4.02049637865617e-4
H16_A1922,Cell_membrane,1.1287422366404498e-4,6.355836896348938e-5,8.779110244356546e-5,5.5727818593852666e-5,4.595458448233457e-5
H16_A1923,Cytoplasm,3.8081323285065083e-6,1.0729038358566322e-5,2.0002296666260252e-5,1.8128245691576577e-5,1.554387136357295e-5
H16_A1924,Cytoplasm,1.0696193426509602e-5,7.619898471690684e-6,1.3410596537162682e-5,1.583693402194998e-5,1.4306035438340433e-5
H16_A1925,Cytoplasm,2.3938984040304886e-5,2.2646960909417404e-5,3.378557270349755e-5,3.325793322655205e-5,2.6813007671128746e-5
H16_A1926,Cytoplasm,7.397758996081061e-4,5.890398705749645e-4,5.277920139344787e-4,3.4243770347158406e-4,2.0996589690905018e-4
H16_A1928,Cytoplasm,1.487637935213786e-5,1.6220018100493273e-5,1.5264363958404903e-5,2.269799429141952e-5,1.331628837419453e-5
H16_A1929,Cytoplasm,3.7035988206397186e-6,1.9015068287071439e-6,2.2475542255998545e-6,1.164007956856461e-6,7.351987243973009e-7
H16_A1930,Cytoplasm,6.143019213830431e-6,9.971444404159083e-6,4.801009210772278e-6,7.106349400517483e-6,1.0297337907535953e-5
H16_A1931,Cytoplasm,NaN,7.37643430666261e-7,NaN,NaN,NaN
H16_A1932,Cytoplasm,1.3219642755106545e-5,3.0207026835188294e-5,1.8725028724281513e-5,5.914022247144486e-6,1.0736006461324994e-5
H16_A1933,Cytoplasm,8.958941420449764e-8,3.130205645977607e-6,3.7371389063805165e-6,8.266750385385161e-6,1.1639115593134602e-5
H16_A1934,Cytoplasm,3.5282585073627974e-6,8.481512244640086e-6,1.4336682904477351e-5,1.240046489572416e-5,1.0160833098618075e-5
H16_A1936,Cytoplasm,5.236387971151871e-6,1.1619621475573886e-6,1.6779467900195048e-6,2.459828287087819e-6,3.4553238387759936e-7
H16_A1937,Cytoplasm,1.1377081991717712e-5,1.4462684142772021e-6,1.852038998862837e-5,7.674684804130861e-6,1.0957278326730492e-5
H16_A1938,Cell_membrane,5.111944531900046e-5,4.183962910440175e-5,3.749575749487967e-5,7.958837372563457e-5,5.2080773901675304e-5
H16_A1940,Cytoplasm,3.919554711284355e-5,1.2000533705009172e-4,8.556518664047968e-5,1.109550072255992e-4,7.02174926285023e-5
H16_A1941,Cytoplasm,1.4966082738247552e-4,2.0877158349892052e-4,1.583568711634899e-4,6.49938868105911e-5,3.0187910850762796e-5
H16_A1942,Cytoplasm,1.7549974398374504e-7,6.701388013988655e-8,1.6619438371108286e-6,5.410541093634858e-8,1.073017779736457e-6
H16_A1943,Cytoplasm,1.4530694877092885e-7,NaN,1.1794578414265925e-7,2.1955300434866783e-6,2.2801066470359757e-6
H16_A1944,Cell_membrane,6.978962849120529e-5,1.1946296146307051e-4,1.0988945827981739e-4,5.743089659897441e-5,8.56598735163432e-5
H16_A1945,Cytoplasm,1.5872409801863618e-7,2.680971506575921e-7,1.534595170269761e-7,2.507344698100898e-6,2.325759294002091e-6
H16_A1946,Cytoplasm,2.1123842874153912e-7,1.2977551943152237e-6,1.7193928569572789e-6,1.4412051660512277e-6,2.3045664977968118e-6
H16_A1947,Cytoplasm,6.270564563637211e-6,5.573181530538426e-6,6.058302368083085e-6,9.010684619980744e-6,6.544273032262781e-6
H16_A1948,Cytoplasm,2.654062256363363e-6,2.0724291906441034e-6,2.6140830056716977e-6,2.583836224756983e-6,1.5168558840933569e-6
H16_A1949,Cytoplasm,2.5253824470617184e-7,1.8954905361057476e-7,3.162401025381951e-7,1.092103567952343e-6,1.21596674419794e-6
H16_A1951,Cytoplasm,1.4888536252153062e-7,NaN,7.95291265247719e-8,1.1316962898849244e-6,8.149569472831859e-7
H16_A1953,Cytoplasm,1.597088339808464e-5,9.237547394372395e-6,1.6883210418437358e-5,3.754147865302454e-5,3.78319442863174e-5
H16_A1955,Cytoplasm,3.7295597456894245e-6,1.2426056885795076e-6,2.9861011177036584e-6,6.44930362830356e-6,5.0771871478575975e-6
H16_A1956,Cytoplasm,1.0040012590345872e-5,8.655016353380599e-6,8.024718047944984e-6,1.3949291829755595e-5,8.977212686405821e-6
H16_A1957,Cytoplasm,1.2678927360147092e-5,4.177655674006122e-5,2.720792235832969e-5,3.0635381569513765e-5,5.6940128179749665e-5
H16_A1958,Cytoplasm,2.332218391323017e-6,4.205337340666886e-6,2.4970187312522408e-6,2.5700285202976436e-6,1.268057605548624e-6
H16_A1959,Cytoplasm,1.8345853797381075e-6,5.151610266088452e-6,8.800046306028494e-6,5.280502828707392e-6,8.187273972972804e-6
H16_A1961,Cytoplasm,2.783910137855611e-6,1.5579344506970136e-5,8.709192039133055e-6,3.754670699962029e-6,7.590081837077584e-6
H16_A1962,Cytoplasm,7.499683895578599e-7,2.4881400446842e-7,1.932447838600373e-6,1.401428494863164e-6,7.039938121793769e-7
H16_A1963,Cytoplasm,1.385733738745408e-5,1.7086486613623713e-5,6.460935175298054e-6,4.391215719193561e-6,1.405878657937663e-6
H16_A1965,Cytoplasm,6.9736426380963054e-6,1.0406350976806258e-5,6.597528732689045e-6,6.156775036405812e-6,3.525046017568076e-6
H16_A1966,Cytoplasm,1.2282785028832748e-5,7.86382961398545e-6,9.390726681182562e-6,1.7409030840574708e-5,6.32563517685516e-6
H16_A1969,Cytoplasm,2.9489064432557958e-5,1.2519940752169555e-5,1.288681396544843e-5,7.873072125862639e-5,1.3671225710171033e-5
H16_A1970,Cytoplasm,6.695141989646592e-5,6.315836612822169e-5,6.41045565003704e-5,7.749771722662585e-5,6.000015331992703e-5
H16_A1971,Cytoplasm,9.689606854217555e-6,7.577991924027875e-6,5.911282683557044e-6,5.940426772438454e-6,7.285202712510693e-6
H16_A1972,Cytoplasm,1.7997160433746477e-4,1.6508714377061836e-4,1.9273805383831e-4,1.3899775589127798e-4,1.5124960334581407e-4
H16_A1973,Cytoplasm,4.226502936952565e-5,4.786761442383166e-5,3.896224067456215e-5,6.405003567367156e-5,4.513946763414114e-5
H16_A1974,Cytoplasm,3.2901276477487825e-5,4.407315751504685e-5,7.312945195794695e-5,3.064051376022795e-5,4.3466277989660114e-5
H16_A1975,Cytoplasm,3.9640690951802216e-7,NaN,1.3177947275243906e-7,NaN,2.2804398522149562e-7
H16_A1976,Cell_membrane,6.820969377579734e-7,2.131381787043215e-6,2.8576861076437834e-6,4.2703772479068216e-6,8.523617919869962e-6
H16_A1980,Cytoplasm,8.024819605315872e-7,4.824467141485427e-7,4.5307036347731314e-7,1.8300463842524308e-6,7.1405600285472e-7
H16_A1981,Cytoplasm,5.673374536326261e-6,NaN,5.485599908026193e-6,2.3769103329845943e-5,1.9478599982838875e-5
H16_A1984,Cell_membrane,3.6082693523844253e-5,2.373581608601921e-5,2.8505026612085557e-5,2.1492277217278718e-5,4.2497122852527274e-5
H16_A1985,Cell_membrane,5.274069278698062e-7,2.1796441429200723e-6,6.105858933732024e-7,1.9375755746479057e-6,7.369931155935994e-7
H16_A1986,Cell_membrane,1.017864444910671e-7,1.7851455374562312e-7,9.362584513465759e-8,9.270458379964806e-8,1.2598139050375803e-7
H16_A1988,Cytoplasm,1.0958241024700719e-5,5.8247619367774845e-06,5.804624940471112e-6,4.057146223621165e-6,3.88054155773013e-6
H16_A1989,Cytoplasm,2.294919138312238e-6,5.610386630907373e-6,4.734587411137716e-5,8.812429032062077e-5,1.391921124672902e-4
H16_A1991,Cytoplasm,2.99881531117805e-5,1.8336146337057162e-5,1.557887245777177e-5,1.653317115031302e-5,1.502812653889372e-5
H16_A1992,Cytoplasm,2.7192149298890797e-6,2.075053646241111e-6,2.2281564733631142e-6,2.2368174423554594e-6,2.0647746388273435e-6
H16_A1994,Cytoplasm,6.11458546927421e-6,2.120540031039957e-5,1.0843002980583041e-5,1.7110611016130047e-5,1.06649229254935e-5
H16_A1995,Cytoplasm,7.888266658212607e-6,1.9615667708034453e-5,1.103206498165133e-5,8.403113798950256e-6,9.284151358163502e-6
H16_A1997,Cytoplasm,4.17928468134291e-5,2.1736251689843003e-4,1.51605901100778e-4,2.928702260744015e-5,9.251860741164142e-5
H16_A1999,Cytoplasm,9.755774873323957e-6,7.438748881776479e-6,1.0433637180507277e-5,1.3570104712552842e-5,7.796080411590128e-6
H16_A2000,Cytoplasm,9.872701693366594e-6,1.4287576952821572e-5,3.527351272436156e-5,5.493280951460607e-5,8.22988337969053e-5
H16_A2001,Cytoplasm,2.3294910608499325e-5,3.7888116556323194e-5,5.196582072134427e-5,7.587525508952661e-5,9.101638056072352e-5
H16_A2002,Cytoplasm,4.9035096111380845e-5,3.772244941232515e-5,3.864390339822312e-5,7.042464997617626e-5,5.416481454356315e-5
H16_A2004,Cytoplasm,1.9806197295671864e-6,4.5806216847315895e-7,4.7193915925033836e-7,3.037771081345743e-7,6.960862931197369e-7
H16_A2006,Cytoplasm,NaN,NaN,1.1936273094457556e-5,NaN,4.6619596750679294e-6
H16_A2007,Cytoplasm,3.5743960305047694e-5,8.118146923519255e-6,2.1509146519891926e-5,2.3475802623434632e-5,1.6817421224160697e-5
H16_A2008,Cytoplasm,2.5033723080666434e-5,2.865224881237461e-5,3.250404093773849e-5,2.7411980207373388e-5,3.4401889276851645e-5
H16_A2010,Cell_membrane,3.2170423325178913e-6,1.4519365406256645e-6,4.259903436019342e-6,1.64669576823112e-6,1.2312537581149288e-6
H16_A2011,Cytoplasm,5.252502332545762e-7,9.903581513371574e-6,1.2339739704012854e-5,3.8051585702046146e-6,5.5527633435545755e-6
H16_A2012,Cytoplasm,1.4795424037261954e-4,1.0598373334400395e-4,8.630389966274399e-5,1.102481313036004e-4,8.767454222965992e-5
H16_A2014,Cytoplasm,4.520291731338226e-4,5.532298266340159e-4,6.009285677810185e-4,4.7525283109734796e-4,7.437766538254452e-4
H16_A2016,Cytoplasm,5.549090180846617e-5,1.6478334950845126e-5,3.142066386497044e-5,2.888408534855792e-5,2.9637250772997404e-5
H16_A2017,Cytoplasm,8.663452752235567e-6,1.4495116433932553e-5,1.2804865748884012e-5,1.1658308761582173e-5,2.797845410001731e-5
H16_A2018,Cytoplasm,1.2006033749939536e-4,5.8266728846229945e-5,9.675847580978194e-5,1.4013060503251912e-4,1.157250860378138e-4
H16_A2020,Cytoplasm,2.2091136205624544e-5,2.145639851214633e-5,1.915596799068522e-5,1.1827162878453221e-5,1.0612029197941285e-5
H16_A2021,Cytoplasm,1.3300204465761874e-6,9.37141431166385e-7,7.759530857308467e-7,9.5803460545122e-6,2.0702110952608865e-5
H16_A2022,Cytoplasm,1.3075233602934436e-6,8.0463091396612e-7,1.8586757074107254e-6,2.3768390360363953e-6,1.9569200040422928e-6
H16_A2027,Cell_membrane,7.685497774372973e-6,7.216094658404734e-6,1.8308167417602173e-5,3.4259173782283585e-5,1.5914015762230483e-6
H16_A2028,Cytoplasm,2.975544811556268e-4,4.144820308086782e-4,4.011616975989621e-4,4.197137697926501e-4,4.45370990894982e-4
H16_A2029,Cell_membrane,9.790212231128465e-6,1.80667754892496e-5,1.0073109556222411e-5,7.1234090560506815e-6,4.829420363984528e-6
H16_A2030,Cytoplasm,2.3871152511891397e-4,2.4260645904398867e-4,2.9244429331337407e-4,3.6177202431086295e-4,3.76369178821381e-4
H16_A2031,Cell_membrane,NaN,NaN,3.167969615982237e-7,1.2874534914829152e-7,4.7129511135757543e-7
H16_A2032,Cytoplasm,1.2848371850874028e-4,6.860192896862411e-5,1.0267055257972432e-4,8.566765548165292e-5,5.523557065621117e-5
H16_A2033,Cytoplasm,3.3633852773015913e-6,4.73508985078011e-6,6.145707112318208e-6,7.369467928601649e-6,7.357856797565742e-6
H16_A2034,Cytoplasm,6.231270251606714e-5,6.784372231356563e-5,7.526211546172636e-5,1.289677421631642e-4,5.263542537544412e-5
H16_A2035,Cytoplasm,1.3637066341100319e-4,1.5291754979494365e-4,1.3413161729062785e-4,9.455079522549232e-5,2.0267573577202627e-4
H16_A2036,Cytoplasm,3.0789889529114837e-4,2.37772571366615e-4,1.78928002929136e-4,2.569196152931806e-4,1.8466894844972162e-4
H16_A2038,Cytoplasm,0.0010380605127126527,0.0010640848924399224,0.0011505390991691784,9.672973458136155e-4,7.920216478601057e-4
H16_A2039,Cytoplasm,3.928207815822307e-4,4.903082182918783e-4,4.7729547411067577e-4,4.8524676914390985e-4,4.8803035352377517e-4
H16_A2040,Cytoplasm,6.629231365505808e-5,1.4166954425351026e-4,1.2141641673199539e-4,1.128803258600193e-4,1.2731885301446008e-4
H16_A2041,Cytoplasm,3.296927187845033e-5,6.931787731372021e-5,6.427036893193237e-5,8.192409729333533e-5,1.0259610272159886e-4
H16_A2042,Cytoplasm,6.457977401440352e-5,7.109953955453573e-5,1.0595343562525922e-4,1.1232676876639624e-4,1.2745079811326098e-4
H16_A2043,Cytoplasm,6.546149179883813e-4,7.01561256287171e-4,6.890706975021859e-4,7.004667130687003e-4,8.097754046988038e-4
H16_A2044,Cytoplasm,1.5977347348775656e-4,1.6320825879636498e-4,2.1908845203928712e-4,1.583819920104086e-4,2.2107693250505888e-4
H16_A2045,Cytoplasm,6.624812672735821e-5,1.203385242146768e-4,1.3834377230349714e-4,1.1939799676050876e-4,1.023711980169028e-4
H16_A2046,Cytoplasm,6.229920043574723e-4,5.78763927787796e-4,6.19600721665346e-4,5.006189331760431e-4,3.2340496547773537e-4
H16_A2047,Cell_membrane,7.23371380648303e-5,9.713852806649615e-5,9.978724176965493e-5,1.0619490801824496e-4,1.8042512260401614e-4
H16_A2048,Cell_membrane,4.175123916043995e-5,6.534386503708272e-6,1.3737889188085092e-6,5.18254016835489e-6,1.4480593264007605e-6
H16_A2049,Cytoplasm,1.624688942318217e-4,1.9455504953463237e-4,2.1051338950741076e-4,2.113059858933972e-4,8.00961410015652e-4
H16_A2051,Cytoplasm,2.9171418640646074e-5,6.0254925074176986e-5,4.775343647267371e-5,6.685537575305791e-5,6.010489426012627e-5
H16_A2052,Cytoplasm,0.0012250755041120023,8.329257879339531e-4,9.320970467741033e-4,9.700995375095176e-4,7.664785356955143e-4
H16_A2053,Cytoplasm,5.656223322895497e-4,8.031161626926355e-4,8.517272230306942e-4,7.277567015139638e-4,8.637812842654494e-4
H16_A2054,Cytoplasm,0.0018181470031454713,0.0021598597257182547,0.0024975245031645366,0.0028833472391259834,0.0024527641020232463
H16_A2055,Cytoplasm,0.002748698791687808,0.003074257912929351,0.003456767108866064,0.003987595559858684,0.004321082517893813
H16_A2056,Cytoplasm,5.924676668939209e-4,7.506415582999241e-4,6.051270462185484e-4,4.456370494686099e-4,4.962684058607722e-4
H16_A2057,Cytoplasm,2.4725150697120743e-6,1.979242734398395e-6,7.068691289839162e-6,9.027992887921388e-6,3.72430369734612e-6
H16_A2058,Cytoplasm,3.180584609287325e-5,6.06143538130629e-5,9.638943072530548e-5,9.077129175179418e-5,5.717042916958695e-5
H16_A2059,Cytoplasm,2.3688189125563677e-5,3.6318068592195014e-5,8.637388255477104e-5,2.7106537065332956e-5,3.5695757392901756e-5
H16_A2060,Cytoplasm,2.477962238091781e-5,4.4765554260274005e-5,3.675387399548157e-5,3.172672300450132e-5,2.3088040286915595e-5
H16_A2061,Cytoplasm,3.5798110578700894e-6,3.2825917287644254e-6,6.111457450767961e-6,1.0268810062349954e-5,4.395206822642007e-6
H16_A2062,Cytoplasm,7.872838898028342e-5,1.266955668967846e-4,1.1650859696829273e-4,1.3240032032140467e-4,1.678555999122375e-4
H16_A2065,Cytoplasm,1.6367371031230597e-4,2.1386561693048192e-4,2.221595543568138e-4,2.4565616323530713e-4,3.452623048822906e-4
H16_A2066,Cytoplasm,0.001091656529137569,0.001133845611075812,0.001196573623317757,0.0010254983664771925,9.041586065924368e-4
H16_A2067,Cytoplasm,2.4972942347615705e-6,8.272791044749754e-6,9.345889981194858e-7,2.442342296428629e-6,3.3066769684251618e-6
H16_A2068,Cytoplasm,1.5223489410777684e-4,1.877389797543898e-4,1.908996660335586e-4,2.2229415825576954e-4,1.8175907788128907e-4
H16_A2069,Cytoplasm,2.1627244496780267e-4,2.825477606224208e-4,2.6008587122690785e-4,2.395842695833141e-4,2.1757606497376742e-4
H16_A2070,Cytoplasm,1.0001436138720703e-4,5.9764684960165734e-5,7.185973227215412e-5,1.02512445123999e-4,7.41262181429236e-5
H16_A2071,Cytoplasm,5.195114217598518e-5,1.0890675623941089e-4,1.0753389038227234e-4,1.0561747785571385e-4,1.2780614833278491e-4
H16_A2072,Cell_membrane,1.2328056740821625e-5,2.0667985352656006e-5,2.57254063272919e-5,2.6034751498113608e-5,4.14620717920871e-5
H16_A2073,Cytoplasm,7.538710142715311e-7,4.408841234472133e-6,2.640051673528269e-6,7.5805902843942886e-6,8.716352840111113e-6
H16_A2074,Cytoplasm,3.37222704859314e-5,5.289718387234401e-5,1.123835796617171e-5,1.2856623509940674e-5,8.023344644130611e-6
H16_A2075,Cell_membrane,7.55958286051915e-5,6.562601270513279e-5,9.028161682093573e-5,1.9444847992869643e-4,1.603320808770559e-4
H16_A2076,Cytoplasm,2.7852360368986523e-6,3.3706319668442823e-6,2.3012769128646694e-6,2.731163856612119e-6,1.4365392441357391e-6
H16_A2078,Cytoplasm,3.999610276883731e-7,1.0377279790049475e-6,5.873732184854273e-7,1.0087882521873346e-6,1.6566601444082902e-6
H16_A2080,Cytoplasm,9.397597120440672e-6,1.3705019954875846e-5,5.376472962857376e-6,6.1648203621798494e-6,3.2595335862812843e-6
H16_A2081,Cytoplasm,1.9377682588717245e-6,1.282791461153597e-6,3.953165192692457e-7,1.3679819083985143e-6,1.8870038745338776e-6
H16_A2082,Cell_membrane,1.1996682195267705e-5,9.332254396838567e-6,1.059950030944109e-5,8.534465441817974e-6,7.307815887465438e-6
H16_A2084,Cell_membrane,6.743923268975683e-7,1.6666625346652452e-6,1.3658031911215053e-6,3.107744694712386e-6,8.541337635073976e-7
