R_A5PISO_enzyme	15173.5444893489	15173.5444893489
R_ACCOAC_enzyme	82925.05764098837	82925.05764098837
R_ACHBS_enzyme	55217.37165616761	55217.37165616761
R_ACKr_enzyme	2408598.55831212	2408598.55831212
R_ACLS_enzyme	219317.09512049635	219317.09512049635
R_ACOADH2_enzyme	266077.4701681769	266077.4701681769
R_ACONT1_enzyme	804389.9211789767	804389.9211789767
R_ACONT2_enzyme	804389.9211789762	804389.9211789762
R_ADCL_enzyme	87601.40644028761	87601.40644028761
R_ADCS_enzyme	87601.40644028761	87601.40644028761
R_ADK1_enzyme	110706.80668863685	110706.80668863685
R_ADSK_enzyme	128154777.03603433	128154777.03603433
R_ADSL1r_enzyme	80827.13489674847	80827.13489674847
R_ADSS_enzyme	37166.0428110971	37166.0428110971
R_ADSUCL1_enzyme	127567.91589651891	127567.91589651891
R_AGMHE_enzyme	6357.507112328189	6357.507112328189
R_AHCi_enzyme	834.7581028840176	834.7581028840176
R_AKGDH_enzyme	314878.38116219116	314878.38116219116
R_ALAALAL_enzyme	10427.107168474193	10427.107168474193
R_ALAR_enzyme	365663.7276175167	365663.7276175167
R_ALCDgl_enzyme	5719.186476440982	5719.186476440982
R_ALHD2_enzyme	1002.8815970017827	1002.8815970017827
R_ANPRT_enzyme	752.2666205129474	752.2666205129474
R_ANS_enzyme	1264.9308909272195	1264.9308909272195
R_ARGSL_enzyme	100297.45009284152	100297.45009284152
R_ARGSS_enzyme	62301.45239199334	62301.45239199334
R_ASNS_enzyme	3722873.767150497	3722873.767150497
R_ASP1DC_enzyme	1084.9709044457759	1084.9709044457759
R_ASPCT_enzyme	51452.17112491446	51452.17112491446
R_ASPK_enzyme	162832.2408409138	162832.2408409138
R_ASPOX2_enzyme	13869.59752288323	13869.59752288323
R_ASPSAD_enzyme	99680.68444330392	99680.68444330392
R_ASPTA_enzyme	3314265.2222756213	3314265.2222756213
R_ATPPRT_enzyme	44451.93405477396	44451.93405477396
R_ATPS4m_enzyme	570699.8904003123	570699.8904003123
R_CHORM_enzyme	629939.1014864024	629939.1014864024
R_CHORS_enzyme	177979.10856456734	177979.10856456734
R_CHRPL_enzyme	39506.46496681114	39506.46496681114
R_CLPNS2_enzyme	120109.18059527155	120109.18059527155
R_CLS_m_enzyme	53799.579001489874	53799.579001489874
R_CS_enzyme	593721.0850755844	593721.0850755844
R_CTPS2_enzyme	20238.444059562848	20238.444059562848
R_CYSS_enzyme	45000.12018519135	45000.12018519135
R_CYTK1_enzyme	255765.81612811252	255765.81612811252
R_CYTTS4_enzyme	72035.02289426757	72035.02289426757
R_DAGK_enzyme	117080.71000498376	117080.71000498376
R_DALAT_enzyme	51802.83910202691	51802.83910202691
R_DAPDC_enzyme	52245.8658576794	52245.8658576794
R_DAPE_enzyme	487973.4543585224	487973.4543585224
R_DATA4_enzyme	866385.2163683989	866385.2163683989
R_DB4PS_enzyme	8231.762098438014	8231.762098438014
R_DHADT1_enzyme	606016.0985867598	606016.0985867598
R_DHADT2_enzyme	152576.4151075452	152576.4151075452
R_DHDPRy_enzyme	25599.219001518533	25599.219001518533
R_DHDPS_enzyme	24875.656796640436	24875.656796640436
R_DHFR_enzyme	17100.763009845243	17100.763009845243
R_DHNPA_enzyme	35231.28855030567	35231.28855030567
R_DHORD_NAD_enzyme	234779.50791420968	234779.50791420968
R_DHPPRAP_enzyme	13832.231943791227	13832.231943791227
R_DHPS_enzyme	6895.552123082767	6895.552123082767
R_DHQND_enzyme	1976183.8974454345	1976183.8974454345
R_DHQS_enzyme	181859.2954753799	181859.2954753799
R_DHR_enzyme	36739.913540510795	36739.913540510795
R_DMOAT2_enzyme	154005.77794431453	154005.77794431453
R_DMPPS_enzyme	4076.086195339553	4076.086195339553
R_DMQMT_enzyme	1824.0668877054893	1824.0668877054893
R_DNMPPA_enzyme	742.4504230745356	742.4504230745356
R_DNTPPA_enzyme	742.4504230745356	742.4504230745356
R_DPCOAK_enzyme	535.9391073130063	535.9391073130063
R_DPHS_enzyme	106199.74681129395	106199.74681129395
R_DPR_enzyme	13733.559056383436	13733.559056383436
R_DTMPK_enzyme	40768.57336977142	40768.57336977142
R_DXPRIi_enzyme	6256.130427448545	6256.130427448545
R_DXPS_enzyme	21869.87092417876	21869.87092417876
R_EDA_enzyme	1732359.0350092633	1732359.0350092633
R_EDD_enzyme	757986.4640088279	757986.4640088279
R_EDTXS1_enzyme	1616.6398752953135	1616.6398752953135
R_ENCOAH2_enzyme	144.35478547063556	144.35478547063556
R_ENO_enzyme	359592.6207658417	359592.6207658417
R_FDH_enzyme	32063.219398334062	32063.219398334062
R_FMNAT_enzyme	17791.117339546647	17791.117339546647
R_FOMETRi_enzyme	112273.96851375148	112273.96851375148
R_FPGLUS1_enzyme	3365.890385248827	3365.890385248827
R_FRUabc_enzyme	554451.8838741919	554451.8838741919
R_FUM_enzyme	747619.314006839	747619.314006839
R_G6PDH2r_enzyme	260537.28388578276	260537.28388578276
R_GALUi_enzyme	1552.017407803481	1552.017407803481
R_GAPD_enzyme	162159.1008456243	162159.1008456243
R_GF6PTA_enzyme	239987.26494060797	239987.26494060797
R_GHMT3_enzyme	52538.11962482492	52538.11962482492
R_GK1_enzyme	50532.048301621675	50532.048301621675
R_GL3PD_enzyme	26541.083279287046	26541.083279287046
R_GLNS_enzyme	212261.7397497526	212261.7397497526
R_GLNST2_enzyme	6234.871730782928	6234.871730782928
R_GLUDy_enzyme	3771968.8815008192	3771968.8815008192
R_GLUPRT_enzyme	61828.27511019565	61828.27511019565
