reaction_id,flux_mmol_gDCW_h,sd_flux,min_flux,max_flux,CV,flux_mmol_gDCW_h_FBA
R_ATPS4m,18.78486673309028,0.1597692022227992,0,38.98123686040152,0.00850520818129412,18.044309988864182
R_CYTCOBO3,11.317870573265875,0.0892427982931684,0,23.400260798253353,0.007885122710624581,10.613548912632938
R_NADH16,9.03440144903082,0.14280864475847738,0,18.955315307350045,0.015807205996341618,8.979585658965103
R_PIt2r,7.914710104663833,0.03224221693832423,0,15.890103651628797,0.004073707882152896,8.352124996767209
R_O2t,5.789922964777003,0.03691242333628195,0,11.934845000292253,0.006375287471152671,5.339593451890206
R_PDH1,2.868449562062919,0.10893099870140611,0,7.109618870068109,0.03797556705967164,2.7472609187652672
R_PDH2,2.868449562062919,0.10893099870140611,0,7.109618870068109,0.03797556705967164,2.7472609187652672
R_PDH3,2.868449562062919,0.10893099870140611,0,7.109618870068109,0.03797556705967164,2.7472609187652672
R_ENO,2.3283311773585913,0.16043280932491277,0,6.8820922317331865,0.0689046347379663,2.243779484820832
R_NH4t,3.0570255413612055,0.011696222184974358,0,6.165540209258356,0.003826013890536998,3.176738164728128
R_FRUabc,3.027267525198762,5.60992050363548e-4,0,6.055724051383087,1.8531300775167364e-4,3.0278641207815276
R_HEXf,3.027267525198762,5.60992050363548e-4,0,6.055724051383087,1.8531300775167364e-4,3.0278641207815276
R_CS,2.4039059885273586,0.07506309463146615,0,5.766706115753835,0.03122547012641292,2.1522155470062936
R_ACONT1,2.3901256757425084,0.07605196941581084,0,5.766126299846764,0.0318192345229649,2.1522155470062936
R_ACONT2,2.3901256757425084,0.07605196941581084,0,5.766126299846764,0.0318192345229649,2.1522155470062936
R_EDA,2.7476933917651785,0.08778794453321488,0,5.577808333592901,0.03194968725270252,2.757349210435477
R_EDD,2.7476933917651785,0.08778794453321488,0,5.577808333592901,0.03194968725270252,2.757349210435477
R_G6PDH2r,2.7476933917651785,0.08778794453321488,0,5.577808333592901,0.03194968725270252,2.757349210435477
R_PGL,2.7476933917651785,0.08778794453321488,0,5.577808333592901,0.03194968725270252,2.757349210435477
R_MDH,2.101047894329675,0.1085635667111276,0,5.499281602137805,0.05167115276339955,1.797170973633845
R_GAPD,2.569046765008496,0.2418304974307737,0,5.339726899077119,0.09413238432425887,2.571282516778433
R_FUM,2.102152036991327,0.0839717675349296,0,5.1424645569607215,0.03994562051520922,1.797170973633845
R_GDH1,-316.82891330120714,122.39128123797556,-4.706054997836455,4.706054997836455,0.3863008586013076,-2.3530274989182276
R_SUCDi,1.8457700917108322,0.06885194712752273,0,4.534842368431674,0.03730255866466246,1.631734667073142
R_AKGDH,1.6475678378348664,0.08443845731127944,0,4.312185634221661,0.051250367585618406,1.6290478329537459
R_ICDHx,-555.8632876051772,112.89183454848146,-4.304431094012587,4.304431094012587,0.20309280548973244,2.1522155470062936
R_PYK,0.7606196610633911,0.18212985187384834,0,4.097760365403018,0.23944930850093998,0.6171218974871718
R_PRUK,0.027243766254331163,0.1927678664252877,0,3.0278470574674,7.075668783299807,0
R_RBPC,0.027243766254331163,0.1927678664252877,0,3.0278470574674,7.075668783299807,0
R_PPC,1.2898902715890619,0.049712580863796145,0,2.831802121412955,0.03854016264697728,1.3219289501782479
R_PPA,0.7588173812143215,0.03821975373453517,0,1.732328975494832,0.0503675254161585,0.6335764286947541
R_GLNS,0.6873168009394863,0.04953077743744087,0,1.6737761028498572,0.07206397016592314,0.6094026784143313
R_XANt2,0.056031576653772605,0.12756541682654465,0,1.4050805263340407,2.276670128609627,0
R_HCO3E,0.5106885577476716,0.028880075895171265,0,1.167870738688148,0.05655124920468797,0.4648693863933161
R_ADK1,172.90738649866003,112.77084740389016,-0.8834928741353246,0.8834928741353246,0.6522037588299566,0.4417464370676623
R_ICL,0.2445297715555672,0.068970925039414,0,0.8500405472466235,0.28205532848069165,0
R_Kabc,0.04297849121290494,0.09349095620943489,0,0.8270663351617125,2.1752963766527667,0
R_PGLCED,0.3449539100467745,0.024591727234838618,0,0.81385484618249,0.07128989270335874,0.3275030319576012
R_PSERT,0.3449539100467745,0.024591727234838618,0,0.81385484618249,0.07128989270335874,0.3275030319576012
R_PSP_L,0.3449539100467745,0.024591727234838618,0,0.81385484618249,0.07128989270335874,0.3275030319576012
R_RPI,-0.12425017823565859,0.06560172989907191,-0.2745883421184301,0.7606844183050494,0.5279809721853973,-0.13005279554281052
R_ACCOAC,0.33034117681451464,0.017158145937932967,0,0.7516937932157506,0.05194068176238048,0.32616060538084035
R_FBP,0.005742700952645573,0.050073345230250456,0,0.742172084197014,8.719476365416945,0
R_ASPK,0.31926401501190216,0.010409418349152665,0,0.7109639256844972,0.032604420979810714,0.3055699509702759
R_ASP4DC,0.22514010671346793,0.03416401858160938,0,0.6342016601128451,0.15174559113578712,0.2956352878373088
R_MCOATA,0.30915203896006443,1.0303821967216473e-4,0,0.6192409437869262,3.3329302960047753e-4,0.32533597463992103
R_FUMt2_2,0.05734037861794365,0.0624327771747039,0,0.6138615028598053,1.088809991832992,0
R_ACGK,0.25090120856542997,0.026165967237905065,0,0.5959819928733903,0.10428792825476371,0.09250871904715999
R_NADHDH,0.06238303656068991,0.07741552671391926,0,0.5903684082792924,1.2409707988261336,0
R_GACT_h,0.22605205955865715,0.028998671157553814,0,0.5741416082795578,0.12828315395210585,0.09250871904715999
R_NAt3_15,0.047804760904365334,0.06861498904945969,0,0.5731597887484963,1.4353170636440533,0
R_FDH2,0.11162464881137499,0.08986215806588423,0,0.5695610327598497,0.8050386632591754,0
