,gene,reaction_id,reaction_name,reaction_reaction,LB_medium,EX_fru_e_EX_nh4_e,EX_succ_e_EX_nh4_e,EX_formate_e_EX_nh4_e
2167,H16_B0145,HPCOR,3-hydroxypropionyl-CoA:NADP+ oxidoreductase,3oppcoa_c + h_c + nadph_c <=> 3hpcoa_c + nadp_c,0,0,0,0
2168,H16_B0145,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2169,H16_B2234,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2170,H16_A1753,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2171,H16_B1300,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2172,H16_A1374,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2173,H16_B2233,PDH1,Pyruvate dehydrogenase E1 component,h_c + lipo_c + pyr_c --> adlipo_c + co2_c,0,0,0,0
2174,H16_A2457,2AMBZC,2-aminobenzoate-CoA ligase,anth_c + atp_c + coa_c --> amp_c + anthcoa_c + h_c + ppi_c,0,0,0,0
2175,H16_B1016,ICDHx,Isocitrate dehydrogenase (NAD),icit_c + nad_c <=> akg_c + co2_c + nadh_c,0,0,0,0
2176,H16_A1375,PDH2,Pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),adlipo_c + coa_c --> accoa_c + dlipo_c,0,0,0,0
2177,H16_B0146,PDH2,Pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),adlipo_c + coa_c --> accoa_c + dlipo_c,0,0,0,0
2178,H16_B1255,CLS_m,Cardiolipin synthase,2.0 pg_c <=> clpn_c + glyc_c,0,0,0,0
2179,H16_B1255,CLPNS2,Cardiolipin synthase,cdpdag_MRSA_c + pg_c --> clpn_c + cmp_c,0,0,0,0
2180,H16_A0458,CLS_m,Cardiolipin synthase,2.0 pg_c <=> clpn_c + glyc_c,0,0,0,0
2181,H16_A0458,CLPNS2,Cardiolipin synthase,cdpdag_MRSA_c + pg_c --> clpn_c + cmp_c,0,0,0,0
2182,H16_B2446,4HBZDC,4-hydroxybenzoate decarboxylase,co2_c + phenol_c --> 4hbz_c + h_c,0,0,0,0
2183,H16_A1197,PPCSYN1,Propionyl-CoA synthetase,amp_c + h_c + ppcoa_c <=> HC01668_c + coa_c,0,0,0,0
2184,H16_A1197,PPCSYN2,Propionyl-CoA synthetase,HC01668_c + ppi_c <=> atp_c + ppa_c,0,0,0,0
2185,H16_B1291,R15BPK,"Ribose-1,5-bisphosphokinase",atp_c + h_c + r15bp_c --> adp_c + prpp_c,0,0,0,0
2186,H16_A1225,ASPK,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,0,1,1,1
2187,H16_A0932,MGSA,Methylglyoxal synthase,dhap_c --> mthgxl_c + pi_c,0,0,0,0
2188,H16_A2456,4HBZCT,4-hydroxybenzoyl-CoA thioesterase,4hbzcoa_c + h2o_c --> 4hbz_c + coa_c + h_c,0,0,0,0
2189,H16_A1529,4HBZCT,4-hydroxybenzoyl-CoA thioesterase,4hbzcoa_c + h2o_c --> 4hbz_c + coa_c + h_c,0,0,0,0
2190,H16_A2997,PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),paps_c + trdrd_c --> h_c + pap_c + so3_c + trdox_c,1,1,1,1
2191,H16_A2997,PAPSR2,Phosphoadenylyl-sulfate reductase (glutaredoxin),grxrd_c + paps_c --> grxox_c + h_c + pap_c + so3_c,1,1,1,1
2192,H16_A2133,IPPMD,3-isopropylmalate dehydrogenase,e3mmal_c + nad_c --> 2obut_c + co2_c + nadh_c,0,0,0,0
2193,H16_A2133,IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,0,0,0,0
2194,H16_A2133,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,3c4mop_c + h_c --> 4mop_c + co2_c,0,0,0,0
2195,H16_A2619,IPPMD,3-isopropylmalate dehydrogenase,e3mmal_c + nad_c --> 2obut_c + co2_c + nadh_c,0,0,0,0
2196,H16_A2619,IPMD,3-isopropylmalate dehydrogenase,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,0,0,0,0
2197,H16_A2619,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,3c4mop_c + h_c --> 4mop_c + co2_c,0,0,0,0
2198,H16_A3649,FGDM,N-formylglutamate deformylase,Nforglu_c + h2o_c --> for_c + glu__L_c,0,0,0,0
2199,H16_A3013,FGDM,N-formylglutamate deformylase,Nforglu_c + h2o_c --> for_c + glu__L_c,0,0,0,0
2200,H16_A1109,FGDM,N-formylglutamate deformylase,Nforglu_c + h2o_c --> for_c + glu__L_c,0,0,0,0
2201,H16_A1306,FGDM,N-formylglutamate deformylase,Nforglu_c + h2o_c --> for_c + glu__L_c,0,0,0,0
2202,H16_B2438,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c <=> crncoa_c + gbbtn_c,0,0,0,0
2203,H16_B2438,CRNCDH,Carnityl-CoA dehydratase,crncoa_c <=> ctbtcoa_c + h2o_c,0,0,0,0
2204,H16_B2438,CTBTCRNCT,Crotonobetainyl-CoA: carnitine CoA,crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c,0,0,0,0
2205,H16_A2078,CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,bbtcoa_c + crn_c <=> crncoa_c + gbbtn_c,0,0,0,0
2206,H16_A2078,CRNCDH,Carnityl-CoA dehydratase,crncoa_c <=> ctbtcoa_c + h2o_c,0,0,0,0
2207,H16_A2078,CTBTCRNCT,Crotonobetainyl-CoA: carnitine CoA,crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c,0,0,0,0
2208,H16_B2265,NO3R1,Nitrate reductase (Ubiquinol-8),2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_e + no2_c + q8_c,0,0,0,0
