locusId	Essentiality	ClassicID
H16_RS18135	Unhit	H16_A3632
H16_RS18140	Unhit	H16_A3633
H16_RS18160	Unhit	H16_A3637
H16_RS18165	Unhit	H16_A3638
H16_RS18170	Unhit	H16_A3639
H16_RS18175	Unhit	H16_A3640
H16_RS18180	Unhit	H16_A3641
H16_RS18185	Uncertain	H16_A3642
H16_RS18190	Unhit	H16_A3643
H16_RS18195	Lowbar	H16_A3644
H16_RS18200	Lowbar	H16_A3645
H16_RS18280	Unhit	H16_A3661
H16_RS18295	Lowbar	H16_A3664
H16_RS18440	Uncertain	NA
H16_RS18445	Unhit	H16_A3694
H16_RS18470	Unhit	H16_A3699
H16_RS18495	Unhit	H16_A3704
H16_RS18705	Unhit	H16_A3744
H16_RS18715	Unhit	H16_A3745
H16_RS18720	Uncertain	H16_A3747
H16_RS18730	Unhit	H16_B0001
H16_RS19125	Unhit	H16_B0080
H16_RS19150	Lowbar	H16_B0085
H16_RS19170	Lowbar	H16_B0089
H16_RS19285	Unhit	H16_B0112
H16_RS19465	Unhit	H16_B0147
H16_RS19485	Uncertain	NA
H16_RS19490	Uncertain	NA
H16_RS19495	Uncertain	NA
H16_RS19505	Uncertain	NA
H16_RS19510	Uncertain	H16_B0156
H16_RS19820	Uncertain	H16_B0218
H16_RS19835	Lowbar	H16_B0221
H16_RS19960	Lowbar	H16_B0246
H16_RS20115	Lowbar	H16_B0276
H16_RS20130	Unhit	H16_B0279
H16_RS34385	Lowbar	H16_B0288
H16_RS20185	Unhit	H16_B0288
H16_RS34390	Uncertain	NA
H16_RS20235	Unhit	H16_B0297
H16_RS20280	Unhit	H16_B0307
H16_RS34400	Uncertain	NA
H16_RS20510	Unhit	H16_B0352
H16_RS20535	Unhit	H16_B0357
H16_RS20545	Unhit	H16_B0359
H16_RS20580	Unhit	H16_B0366
H16_RS20595	Unhit	H16_B0369
H16_RS20655	Unhit	H16_B0382
H16_RS20660	Lowbar	H16_B0383
H16_RS20680	Unhit	H16_B0387
H16_RS20715	Lowbar	H16_B0394
H16_RS20745	Unhit	H16_B0400
H16_RS20775	Lowbar	H16_B0405
H16_RS20830	Lowbar	NA
H16_RS20845	Lowbar	H16_B0419
H16_RS34455	Unhit	H16_B0442
H16_RS34460	Uncertain	H16_B0443
H16_RS34465	Uncertain	NA
H16_RS21010	Lowbar	H16_B0456
H16_RS21055	Unhit	H16_B0465
H16_RS21100	Uncertain	H16_B0474
H16_RS21130	Lowbar	H16_B0480
H16_RS21215	Unhit	H16_B0497
H16_RS21235	Unhit	H16_B0501
H16_RS21240	Unhit	H16_B0502
H16_RS34480	Uncertain	NA
H16_RS21430	Uncertain	H16_B0541
H16_RS21440	Lowbar	H16_B0543
H16_RS21450	Unhit	H16_B0545
H16_RS21475	Uncertain	H16_B0550
H16_RS21600	Unhit	H16_B0575
H16_RS21620	Uncertain	H16_B0578
H16_RS21700	Lowbar	H16_B0595
H16_RS21720	Lowbar	H16_B0599
H16_RS21735	Unhit	H16_B0602
H16_RS21795	Unhit	H16_B0614
H16_RS21855	Unhit	H16_B0625
H16_RS21905	Unhit	H16_B0635
H16_RS21910	Unhit	H16_B0636
H16_RS21930	Unhit	H16_B0640
H16_RS21940	Unhit	H16_B0642
H16_RS21970	Unhit	H16_B0648
H16_RS21980	Lowbar	H16_B0650
H16_RS21985	Unhit	H16_B0651
H16_RS22005	Lowbar	H16_B0655
H16_RS22015	Unhit	H16_B0657
H16_RS22040	Unhit	H16_B0662
H16_RS22065	Unhit	H16_B0667
H16_RS22090	Lowbar	H16_B0672
H16_RS22095	Unhit	H16_B0673
H16_RS34485	Uncertain	NA
H16_RS22105	Lowbar	H16_B0675
H16_RS22130	Unhit	H16_B0680
H16_RS22175	Lowbar	H16_B0689
H16_RS22205	Lowbar	H16_B0695
H16_RS22355	Lowbar	H16_B0725
H16_RS22375	Unhit	H16_B0729
H16_RS22390	Unhit	H16_B0732
H16_RS22440	Lowbar	H16_B0742
H16_RS22575	Uncertain	NA
H16_RS22580	Uncertain	NA
H16_RS22585	Uncertain	NA
H16_RS22590	Uncertain	NA
H16_RS22595	Uncertain	NA
H16_RS22745	Unhit	H16_B0803
H16_RS22750	Unhit	H16_B0804
H16_RS22755	Lowbar	H16_B0805
H16_RS22760	Unhit	H16_B0806
H16_RS22780	Unhit	H16_B0810
H16_RS22785	Unhit	H16_B0811
H16_RS22800	Unhit	H16_B0814
H16_RS22815	Unhit	H16_B0817
H16_RS22845	Unhit	H16_B0823
H16_RS22880	Lowbar	H16_B0829
H16_RS22905	Unhit	H16_B0834
H16_RS34490	Lowbar	NA
H16_RS22975	Lowbar	H16_B0848
H16_RS23060	Lowbar	H16_B0865
H16_RS23145	Unhit	H16_B0882
H16_RS23165	Unhit	H16_B0886
H16_RS23170	Unhit	H16_B0887
H16_RS23195	Lowbar	H16_B0892
H16_RS23200	Unhit	H16_B0893
H16_RS23255	Uncertain	NA
H16_RS23260	Unhit	H16_B0903
H16_RS34495	Uncertain	H16_B0904
H16_RS23265	Uncertain	H16_B0905
H16_RS23270	Uncertain	H16_B0906
H16_RS23390	Unhit	H16_B0929
H16_RS23495	Lowbar	H16_B0950
H16_RS23505	Unhit	H16_B0952
H16_RS23515	Unhit	H16_B0954
H16_RS23525	Unhit	H16_B0955
H16_RS23540	Unhit	H16_B0958
H16_RS23550	Unhit	H16_B0960
H16_RS23580	Uncertain	H16_B0966
H16_RS23630	Lowbar	H16_B0976
H16_RS23785	Lowbar	H16_B1007
H16_RS23810	Uncertain	H16_B1011
H16_RS23845	Lowbar	H16_B1017
H16_RS23895	Lowbar	H16_B1027
H16_RS23905	Unhit	H16_B1029
H16_RS23910	Unhit	H16_B1030
H16_RS23925	Lowbar	H16_B1033
H16_RS23945	Unhit	H16_B1037
H16_RS23960	Lowbar	H16_B1040
H16_RS23965	Unhit	H16_B1041
H16_RS23985	Unhit	H16_B1045
H16_RS24000	Unhit	H16_B1048
H16_RS24025	Lowbar	H16_B1052
H16_RS24100	Uncertain	H16_B1066
H16_RS24110	Unhit	H16_B1068
H16_RS34505	Uncertain	NA
H16_RS24290	Uncertain	H16_B1106
H16_RS24345	Lowbar	H16_B1117
H16_RS24410	Lowbar	H16_B1130
H16_RS34515	Unhit	H16_B1134
H16_RS33770	Unhit	H16_B1135
H16_RS24460	Lowbar	H16_B1140
H16_RS24475	Lowbar	H16_B1143
H16_RS24500	Uncertain	H16_B1149
H16_RS24560	Lowbar	H16_B1161
H16_RS24575	Unhit	H16_B1164
H16_RS24590	Uncertain	H16_B1167
H16_RS24650	Uncertain	NA
H16_RS24745	Lowbar	H16_B1198
H16_RS34530	Uncertain	H16_B1202
H16_RS24825	Uncertain	H16_B1214
H16_RS24880	Uncertain	H16_B1225
H16_RS24930	Uncertain	H16_B1235
H16_RS25005	Unhit	H16_B1251
H16_RS34545	Unhit	H16_B1257
H16_RS25095	Lowbar	H16_B1270
H16_RS25100	Lowbar	H16_B1271
H16_RS25115	Uncertain	H16_B1274
H16_RS25165	Lowbar	H16_B1284
H16_RS25180	Unhit	H16_B1287
H16_RS25185	Unhit	H16_B1288
H16_RS25195	Unhit	H16_B1290
H16_RS25205	Unhit	H16_B1292
H16_RS25225	Unhit	H16_B1296
H16_RS25230	Unhit	H16_B1297
H16_RS25280	Unhit	H16_B1306
H16_RS25340	Unhit	H16_B1323
H16_RS25345	Uncertain	H16_B1323
H16_RS33775	Lowbar	H16_B1325
H16_RS25370	Unhit	H16_B1328
H16_RS25400	Lowbar	H16_B1335
H16_RS25405	Unhit	H16_B1336
H16_RS25460	Unhit	H16_B1351
H16_RS34560	Lowbar	H16_B1351
H16_RS25475	Uncertain	H16_B1352
H16_RS25485	Unhit	H16_B1356
H16_RS25505	Unhit	H16_B1360
H16_RS25510	Unhit	H16_B1361
H16_RS25515	Uncertain	H16_B1362
H16_RS25545	Lowbar	H16_B1368
H16_RS25580	Unhit	H16_B1375
H16_RS25590	Unhit	H16_B1378
H16_RS25620	Lowbar	H16_B1384
H16_RS25635	Unhit	H16_B1387
H16_RS25640	Unhit	H16_B1388
H16_RS25645	Unhit	H16_B1389
H16_RS25650	Lowbar	H16_B1390
H16_RS25655	Unhit	H16_B1391
H16_RS25660	Unhit	H16_B1392
H16_RS25665	Unhit	H16_B1393
H16_RS25670	Lowbar	H16_B1394
H16_RS25675	Unhit	H16_B1395
H16_RS25680	Unhit	H16_B1396
H16_RS25705	Unhit	H16_B1401
H16_RS34565	Uncertain	NA
H16_RS25720	Unhit	H16_B1404
H16_RS25735	Unhit	H16_B1407
H16_RS25745	Unhit	H16_B1409
H16_RS25750	Lowbar	H16_B1410
H16_RS25785	Unhit	H16_B1417
H16_RS25790	Unhit	H16_B1418
H16_RS25800	Unhit	H16_B1420
H16_RS25805	Uncertain	H16_B1421
H16_RS25835	Lowbar	H16_B1426
H16_RS25840	Unhit	H16_B1427
H16_RS25845	Unhit	H16_B1428
H16_RS34575	Unhit	H16_B1428
H16_RS25860	Unhit	H16_B1431
H16_RS25865	Unhit	H16_B1432
H16_RS25890	Lowbar	H16_B1437
H16_RS25895	Lowbar	H16_B1438
H16_RS25900	Unhit	H16_B1439
H16_RS25915	Unhit	H16_B1442
H16_RS25920	Lowbar	H16_B1443
H16_RS25925	Unhit	H16_B1443
H16_RS25985	Lowbar	NA
H16_RS26010	Unhit	H16_B1461
H16_RS34580	Lowbar	H16_B1462
H16_RS26025	Uncertain	H16_B1464
H16_RS26040	Uncertain	H16_B1467
H16_RS26080	Unhit	H16_B1475
H16_RS26100	Unhit	H16_B1479
H16_RS26105	Lowbar	H16_B1480
H16_RS26145	Lowbar	H16_B1488
H16_RS26165	Unhit	H16_B1492
H16_RS26170	Uncertain	H16_B1492
H16_RS26330	Lowbar	H16_B1525
H16_RS26390	Lowbar	H16_B1536
H16_RS26450	Uncertain	H16_B1547
H16_RS26460	Unhit	H16_B1549
H16_RS26465	Uncertain	H16_B1550
H16_RS26475	Lowbar	H16_B1552
H16_RS26480	Unhit	H16_B1553
H16_RS26490	Unhit	H16_B1555
H16_RS26545	Unhit	H16_B1566
H16_RS26550	Uncertain	H16_B1567
H16_RS26555	Lowbar	H16_B1568
H16_RS26675	Uncertain	NA
H16_RS26725	Lowbar	H16_B1602
H16_RS26740	Unhit	H16_B1605
H16_RS26770	Unhit	H16_B1610
H16_RS26835	Lowbar	H16_B1623
H16_RS34585	Lowbar	H16_B1624
H16_RS26925	Unhit	H16_B1642
H16_RS27110	Unhit	H16_B1677
H16_RS27165	Uncertain	H16_B1689
H16_RS27210	Uncertain	H16_B1698
H16_RS27250	Lowbar	H16_B1706
H16_RS27255	Unhit	H16_B1706
H16_RS27345	Uncertain	H16_B1724
H16_RS34595	Uncertain	H16_B1729
H16_RS27420	Uncertain	H16_B1739
H16_RS27430	Lowbar	H16_B1741
H16_RS27435	Unhit	H16_B1742
H16_RS27470	Lowbar	H16_B1749
H16_RS27535	Unhit	H16_B1762
H16_RS27570	Unhit	H16_B1769
H16_RS27575	Unhit	NA
H16_RS27580	Unhit	NA
H16_RS27585	Unhit	H16_B1772
H16_RS27635	Lowbar	H16_B1782
H16_RS27700	Lowbar	H16_B1795
H16_RS27730	Unhit	H16_B1801
H16_RS27740	Lowbar	H16_B1802
H16_RS27745	Unhit	H16_B1804
H16_RS27760	Lowbar	H16_B1807
H16_RS27785	Lowbar	H16_B1812
H16_RS34605	Lowbar	H16_B1814
H16_RS27800	Unhit	H16_B1815
H16_RS27810	Unhit	H16_B1817
H16_RS27815	Lowbar	H16_B1818
H16_RS27875	Lowbar	H16_B1830
H16_RS27915	Lowbar	H16_B1838
H16_RS27925	Lowbar	H16_B1840
H16_RS27930	Unhit	H16_B1841
H16_RS27975	Lowbar	H16_B1850
H16_RS27985	Unhit	H16_B1852
H16_RS28005	Unhit	H16_B1856
H16_RS28030	Uncertain	H16_B1860
H16_RS28045	Lowbar	H16_B1863
H16_RS28155	Unhit	H16_B1885
H16_RS28160	Lowbar	H16_B1886
H16_RS28190	Unhit	H16_B1892
H16_RS28210	Unhit	H16_B1896
H16_RS28235	Unhit	H16_B1901
H16_RS28265	Lowbar	H16_B1907
H16_RS28330	Unhit	H16_B1920
H16_RS28335	Lowbar	H16_B1921
H16_RS28345	Uncertain	H16_B1922
H16_RS28375	Uncertain	H16_B1929
H16_RS28480	Unhit	H16_B1949
H16_RS28490	Unhit	H16_B1951
H16_RS28530	Unhit	H16_B1959
H16_RS34620	Uncertain	H16_B1969
H16_RS28665	Unhit	H16_B1984
H16_RS28675	Lowbar	H16_B1986
H16_RS34625	Uncertain	NA
H16_RS28720	Unhit	H16_B1995
H16_RS28800	Lowbar	H16_B2011
H16_RS28860	Uncertain	H16_B2025
H16_RS28900	Unhit	H16_B2037
H16_RS28975	Unhit	H16_B2052
H16_RS29035	Uncertain	H16_B2064
H16_RS34635	Unhit	H16_B2106
H16_RS34640	Uncertain	H16_B2111
H16_RS29325	Uncertain	H16_B2126
H16_RS29360	Unhit	H16_B2133
H16_RS29910	Uncertain	H16_B2243
H16_RS30030	Lowbar	H16_B2268
H16_RS30080	Lowbar	H16_B2278
H16_RS30105	Unhit	H16_B2283
H16_RS30160	Uncertain	H16_B2293
H16_RS30565	Unhit	H16_B2376
H16_RS30680	Lowbar	H16_B2402
H16_RS30800	Unhit	H16_B2426
H16_RS30840	Lowbar	H16_B2434
H16_RS34665	Unhit	H16_B2461
H16_RS31080	Unhit	H16_B2483
H16_RS31195	Lowbar	H16_B2506
H16_RS31320	Unhit	H16_B2531
H16_RS31370	Uncertain	H16_B2540
H16_RS31435	Unhit	H16_B2553
H16_RS31470	Unhit	H16_B2559
H16_RS31535	Lowbar	NA
PHG036	Lowbar	PHG036
PHG040	Unhit	PHG040
PHG041	Unhit	PHG041
PHG042	Unhit	PHG042
PHG043	Unhit	NA
PHG061	Unhit	PHG061
PHG066	Unhit	PHG066
PHG070	Unhit	PHG070
PHG071	Uncertain	PHG071
PHG100	Unhit	PHG100
PHG101	Unhit	NA
PHG109	Unhit	PHG109
PHG129	Unhit	PHG129
PHG130	Unhit	PHG130
PHG131	Uncertain	PHG131
PHG132	Unhit	PHG132
PHG133	Lowbar	PHG133
PHG134	Unhit	PHG134
PHG136	Unhit	NA
PHG137	Unhit	PHG137
PHG138	Unhit	NA
PHG139	Uncertain	NA
PHG140	Unhit	NA
PHG141	Unhit	NA
PHG150	Unhit	PHG150
PHG156	Lowbar	PHG156
PHG207	Unhit	PHG207
PHG214	Lowbar	PHG214
PHG216	Unhit	PHG216
PHG217	Unhit	PHG217
PHG234	Lowbar	PHG234
PHG255	Lowbar	PHG255
PHG260	Uncertain	PHG260
PHG261	Unhit	PHG261
PHG269	Lowbar	PHG269
PHG283	Uncertain	PHG283
PHG290	Unhit	PHG290
PHG293	Lowbar	PHG293
PHG294	Unhit	PHG294
PHG297	Unhit	PHG297
PHG305	Lowbar	PHG305
PHG313	Uncertain	PHG313
PHG318	Uncertain	PHG318
PHG325	Lowbar	PHG325
PHG337	Unhit	PHG337
PHG354	Unhit	PHG354
PHG355	Lowbar	PHG355
PHG361	Unhit	PHG361
PHG373	Unhit	PHG373
PHG374	Unhit	PHG374
PHG375	Unhit	PHG375
PHG387	Lowbar	PHG387
PHG393	Uncertain	PHG393
PHG406	Lowbar	PHG406
PHG422	Lowbar	PHG422
PHG424	Lowbar	PHG424
PHG426	Unhit	PHG426
