gene,model,barseq
H16_B0406,0,0
H16_A1713,0,1
H16_A1445,0,0
H16_A0867,0,0
H16_B0381,0,0
H16_B0668,0,0
H16_A2148,0,0
H16_A0170,0,0
H16_A3009,0,0
H16_A2993,0,0
H16_A0479,0,0
H16_A2546,0,1
H16_B0873,0,0
H16_A1363,0,0
H16_B0626,1,0
H16_A1134,0,1
H16_B1418,0,1
H16_A2816,0,0
H16_A0282,0,0
H16_B0388,0,0
H16_A1102,0,0
H16_A0602,0,0
H16_B1652,0,0
H16_A1888,0,0
H16_B0724,0,0
H16_A3084,1,0
H16_A0183,0,0
H16_B1813,0,0
H16_A0749,1,1
H16_A3278,1,1
H16_B2459,0,0
H16_A1469,0,0
H16_B1874,0,0
H16_A0037,0,0
H16_B2220,0,0
H16_B1034,0,0
H16_A1263,0,0
H16_A0038,0,0
H16_B1533,0,0
H16_B2521,0,0
H16_B2227,0,0
H16_B1004,0,0
H16_B0422,0,0
H16_B1365,0,0
H16_B2447,0,0
H16_A0239,1,1
H16_B1836,0,0
H16_A0633,0,0
H16_B0223,0,0
H16_B1420,0,1
H16_B0757,0,0
H16_B1109,0,0
H16_B0226,0,0
H16_B0283,0,0
H16_A0315,0,0
H16_A3276,1,1
H16_A1334,0,1
H16_A1814,0,1
H16_A2848,1,1
H16_A3082,0,1
H16_A0136,1,1
H16_A1919,0,0
H16_A2454,0,1
H16_A2452,0,1
H16_A3443,0,1
H16_A0262,1,1
H16_A2896,0,0
H16_A0180,0,0
H16_B2123,0,0
H16_A2994,0,0
H16_B2285,0,0
H16_A2919,0,0
H16_B0508,0,0
H16_A0770,0,0
H16_B1893,0,0
H16_A0817,0,0
H16_A1505,0,0
H16_A0915,1,0
H16_A1332,0,0
H16_A1331,0,0
H16_A0918,0,0
H16_A2914,0,0
H16_A3091,0,0
H16_A3711,0,0
H16_A1564,0,0
H16_A3093,0,0
H16_A1802,0,0
H16_A0240,0,0
H16_A0039,0,0
H16_B0032,0,0
H16_B1663,0,0
H16_B1292,0,1
H16_B2397,0,0
H16_B0021,0,0
H16_B0018,0,0
H16_A2759,0,0
H16_B1407,0,1
H16_A1683,0,1
H16_A3529,0,0
H16_A1315,0,0
H16_A3071,0,0
H16_A3221,0,0
H16_A0269,0,0
H16_B0219,0,0
H16_A0699,0,0
H16_B1278,0,0
H16_A3586,0,0
H16_B1899,0,0
H16_A2857,0,0
H16_B0200,0,0
H16_A1290,0,0
H16_A0462,0,0
H16_B1241,0,0
H16_B0313,0,0
H16_B2452,0,0
H16_A1036,0,0
H16_A1035,0,1
H16_A2231,0,0
H16_B0735,0,0
H16_A1317,1,0
H16_A0792,0,0
H16_B0862,0,0
H16_A1828,0,0
H16_A2586,0,0
H16_A0679,0,0
