gene,model,barseq
H16_A1840,1,1
H16_A0938,0,0
H16_A0369,0,0
H16_A0475,0,0
H16_A0045,0,0
H16_A3308,0,0
H16_B1810,0,0
H16_A2756,0,0
H16_B1478,0,0
PHG416,0,0
H16_B0462,0,0
H16_B1829,0,0
PHG422,0,1
H16_A2912,0,0
H16_B2189,0,0
H16_A0841,0,0
H16_A0857,0,0
H16_B1595,0,0
H16_A0124,0,0
H16_A1387,0,0
H16_A1307,0,0
H16_A1185,1,1
H16_A2327,0,0
PHG423,0,0
H16_A2731,0,0
H16_A0361,0,0
H16_A2907,0,0
H16_B1915,0,0
H16_A1411,0,0
PHG420,0,0
PHG417,0,0
H16_A2051,0,1
H16_A3578,1,0
PHG200,0,0
H16_A0234,0,0
H16_B0638,0,0
H16_A2966,0,0
H16_A1217,1,1
PHG419,0,0
H16_B0473,0,0
H16_B0097,0,0
H16_A2237,0,0
H16_B1357,0,0
H16_B0144,0,0
H16_B0816,0,0
H16_B1180,0,0
PHG418,0,0
H16_A3171,1,1
