"","number","type","sample","limitation","dilution_rate","concentration_mg.L","wavelength_nm","RT_min","width_min","height_mAU","area_mAU_s","area_.","comment","mean_concentration_mg.L"
"43",43,"supernatant","003-3-NLIM_025_R1","Nlim - fructose",0.25,1151.22809786177,210,10.287,NA,NA,116.54713,NA,NA,1075.17069176947
"44",44,"supernatant","004-4-NLIM_025_R2","Nlim - fructose",0.25,950.862561187826,210,10.284,NA,NA,96.27501,NA,NA,1075.17069176947
"45",45,"supernatant","005-5-NLIM_025_R3","Nlim - fructose",0.25,1123.42141625881,210,10.289,NA,NA,113.73377,NA,NA,1075.17069176947
"46",46,"supernatant","006-6-SUC_005_R1","succinate",0.05,-0.401638765370134,210,12.352,NA,NA,2.14752,NA,NA,-0.477321718683089
"47",47,"supernatant","007-7-SUC_005_R2","succinate",0.05,-0.246876627883663,210,11.889,NA,NA,2.32858,NA,NA,-0.477321718683089
"48",48,"supernatant","008-8-SUC_005_R3","succinate",0.05,-0.78344976279547,210,11.942,NA,NA,1.70083,NA,NA,-0.477321718683089
"49",49,"supernatant","009-9-SUC_010_R1","succinate",0.1,-0.640654210555938,210,12.003,NA,NA,1.86789,NA,NA,-0.526131140555778
"50",50,"supernatant","010-10-SUC_010_R2","succinate",0.1,-0.853650880390543,210,12.809,NA,NA,1.6187,NA,NA,-0.526131140555778
"51",51,"supernatant","011-11-SUC_010_R3","succinate",0.1,-0.0840883307208538,210,12.8,NA,NA,2.51903,NA,NA,-0.526131140555778
"52",52,"supernatant","012-12-SUC_015_R1","succinate",0.15,-0.512346774026091,210,12.54,NA,NA,2.018,NA,NA,-0.540602161143683
"53",53,"supernatant","013-13-SUC_015_R2","succinate",0.15,-0.350455970756802,210,12.82,NA,NA,2.2074,NA,NA,-0.540602161143683
"54",54,"supernatant","014-14-SUC_015_R3","succinate",0.15,-0.759003738648154,210,12.807,NA,NA,1.72943,NA,NA,-0.540602161143683
"55",55,"supernatant","015-15-SUC_020_R1","succinate",0.2,-0.786287553011173,210,11.911,NA,NA,1.69751,NA,NA,-0.550981749251919
"56",56,"supernatant","016-16-SUC_020_R2","succinate",0.2,-0.510432120386581,210,12.158,NA,NA,2.02024,NA,NA,-0.550981749251919
"57",57,"supernatant","017-17-SUC_020_R3","succinate",0.2,-0.356225574358004,210,12.155,NA,NA,2.20065,NA,NA,-0.550981749251919
"58",58,"supernatant","018-18-SUC_025_R1","succinate",0.25,74.26646834141,210,12.29,NA,NA,89.50356,NA,NA,44.3974498853823
"59",59,"supernatant","019-19-SUC_025_R2","succinate",0.25,11.2163854960072,210,12.291,NA,NA,15.73973,NA,NA,44.3974498853823
"60",60,"supernatant","020-20-SUC_025_R3","succinate",0.25,47.7094958187296,210,12.286,NA,NA,58.43391,NA,NA,44.3974498853823
